Tarih,TP_GSYIH10_IFK_CF
2000-01-01,3871289.19827625
2000-04-01,4012963.52393154
2000-07-01,4042381.23720387
2000-10-01,4485774.448263649
2001-01-01,5253892.89310869
2001-04-01,5766923.40330456
2001-07-01,6183122.560885829
2001-10-01,7456787.15929564
2002-01-01,8547353.14167098
2002-04-01,9010508.04574745
2002-07-01,9052466.96812783
2002-10-01,10701557.66078759
2003-01-01,11848884.37017419
2003-04-01,12132492.3367276
2003-07-01,12554292.9650697
2003-10-01,13561821.8787868
2004-01-01,14831713.42123739
2004-04-01,14528770.1241317
2004-07-01,14618774.2495162
2004-10-01,16771897.942097
2005-01-01,16454011.067818
2005-04-01,16406513.8807707
2005-07-01,17445258.84365329
2005-10-01,18878585.3397867
2006-01-01,18947738.1238484
2006-04-01,20181736.46744589
2006-07-01,19793260.3416807
2006-10-01,22562686.19103519
2007-01-01,22477485.17883469
2007-04-01,22802000.79751779
2007-07-01,22855756.1842648
2007-10-01,25609006.11998889
2008-01-01,25963272.747099
2008-04-01,25556263.19701309
2008-07-01,25830871.25957389
2008-10-01,28629567.6501665
2009-01-01,28450600.7859434
2009-04-01,28796781.25356559
2009-07-01,28721877.6217156
2009-10-01,32516100.88336709
2010-01-01,32241453.27103099
2010-04-01,32754459.88249849
2010-07-01,32935747.7005046
2010-10-01,36032802.5902637
2011-01-01,37161337.28567449
2011-04-01,37348911.7418173
2011-07-01,37784393.956458
2011-10-01,41256724.58110799
2012-01-01,42970736.09856209
2012-04-01,44967411.55782499
2012-07-01,43867591.210547
2012-10-01,45373986.13701009
2013-01-01,49519770.6889299
2013-04-01,49781418.56360089
2013-07-01,49149682.35805019
2013-10-01,51100321.50325659
2014-01-01,59027761.19797179
2014-04-01,55666427.0997729
2014-07-01,55909064.1257636
2014-10-01,58334674.59547249
2015-01-01,62874003.65510209
2015-04-01,61474957.31764879
2015-07-01,61793651.18672289
2015-10-01,66944707.21518349
2016-01-01,74387068.05904528
2016-04-01,76062654.7068003
2016-07-01,70847434.5454576
2016-10-01,75413836.0556432
2017-01-01,83289115.1547391
2017-04-01,82086948.6202597
2017-07-01,81555028.8524667
2017-10-01,88463219.3638107
2018-01-01,97240210.9055446
2018-04-01,103901234.9031179
2018-07-01,107644630.19469
2018-10-01,115363491.31844
2019-01-01,131259052.034139
2019-04-01,130784304.3116769
2019-07-01,130903181.2864899
2019-10-01,140286346.6404179
2020-01-01,154263080.8186559
2020-04-01,145768264.9805999
2020-07-01,152007214.6082659
2020-10-01,167306113.5723839
2021-01-01,182552011.724251
2021-04-01,184426393.112571
2021-07-01,197946039.160768
2021-10-01,217462109.378461
2022-01-01,279515438.2774279
2022-04-01,296262466.610686
2022-07-01,372324171.157109
2022-10-01,422906284.533182
2023-01-01,534513344.163258
2023-04-01,592843265.839361
2023-07-01,769970665.454148
2023-10-01,834209104.810512
2024-01-01,1184144882.923959
2024-04-01,1189892624.778919
2024-07-01,1371932555.9274
2024-10-01,1429817292.144479
2025-01-01,1674644866.42803
2025-04-01,1637535916.46263
