Tarih,TP_KREHACBS_A28
2024-05-01,13693050.0
2024-06-01,13934113.0
2024-07-01,13973499.0
2024-08-01,14354378.0
2024-09-01,16052560.0
2024-10-01,15912825.0
2024-11-01,17058953.0
2024-12-01,16849654.0
2025-01-01,16747343.0
2025-02-01,16767830.0
2025-03-01,16708096.0
2025-04-01,17421567.0
2025-05-01,15289258.0
2025-06-01,17481263.0
2025-07-01,18346373.0
2025-08-01,17994100.0
