Tarih,TP_IYA_CDUR2_S22_B
2015-06-01,54.7
2015-07-01,59.6
2015-08-01,30.3
2015-09-01,30.0
2015-10-01,35.3
2015-11-01,74.9
2015-12-01,38.2
2016-01-01,22.6
2016-02-01,54.4
2016-03-01,58.2
2016-04-01,54.2
2016-05-01,57.9
2016-06-01,87.6
2016-07-01,78.1
2016-08-01,40.7
2016-09-01,40.5
2016-10-01,54.9
2016-11-01,34.0
2016-12-01,21.3
2017-01-01,27.2
2017-02-01,21.8
2017-03-01,20.0
2017-04-01,67.8
2017-05-01,59.5
2017-06-01,47.1
2017-07-01,33.2
2017-08-01,75.9
2017-09-01,77.8
2017-10-01,47.2
2017-11-01,35.9
2017-12-01,40.3
2018-01-01,45.1
2018-02-01,58.5
2018-03-01,26.7
2018-04-01,34.5
2018-05-01,45.8
2018-06-01,48.8
2018-07-01,56.9
2018-08-01,42.2
2018-09-01,43.5
2018-10-01,39.8
2018-11-01,54.8
2018-12-01,66.8
2019-01-01,42.1
2019-02-01,69.6
2019-03-01,73.5
2019-04-01,70.9
2019-05-01,33.4
2019-06-01,47.2
2019-07-01,67.5
2019-08-01,86.9
2019-09-01,79.2
2019-10-01,89.9
2019-11-01,82.7
2019-12-01,56.6
2020-01-01,75.1
2020-02-01,60.7
2020-03-01,45.5
2020-04-01,51.3
2020-05-01,62.3
2020-06-01,66.4
2020-07-01,60.2
2020-08-01,51.3
2020-09-01,39.8
2020-10-01,39.5
2020-11-01,70.6
2020-12-01,43.1
2021-01-01,77.1
2021-02-01,67.7
2021-03-01,64.9
2021-04-01,38.1
2021-05-01,36.4
2021-06-01,31.9
2021-07-01,38.6
2021-08-01,36.4
2021-09-01,61.6
2021-10-01,46.1
2021-11-01,53.2
2021-12-01,18.2
2022-01-01,30.6
2022-02-01,31.9
2022-03-01,36.0
2022-04-01,28.3
2022-05-01,32.5
2022-06-01,37.8
2022-07-01,32.8
2022-08-01,52.5
2022-09-01,37.6
2022-10-01,49.2
2022-11-01,43.2
2022-12-01,54.0
2023-01-01,46.0
2023-02-01,57.2
2023-03-01,73.0
2023-04-01,63.8
2023-05-01,47.6
2023-06-01,43.0
2023-07-01,30.3
2023-08-01,41.7
2023-09-01,37.7
2023-10-01,49.7
2023-11-01,42.7
2023-12-01,33.4
2024-01-01,31.7
2024-02-01,46.5
2024-03-01,37.9
2024-04-01,56.4
2024-05-01,51.8
2024-06-01,66.3
2024-07-01,65.5
2024-08-01,47.4
2024-09-01,59.2
2024-10-01,55.7
2024-11-01,58.7
2024-12-01,44.8
2025-01-01,47.6
2025-02-01,54.6
2025-03-01,55.3
2025-04-01,57.7
2025-05-01,62.5
2025-06-01,56.2
2025-07-01,61.2
2025-08-01,58.0
2025-09-01,54.8
