Tarih,TP_IYA_CDUR2_S21_A
2015-06-01,32.1
2015-07-01,27.1
2015-08-01,24.2
2015-09-01,7.0
2015-10-01,7.4
2015-11-01,6.3
2015-12-01,59.0
2016-01-01,31.4
2016-02-01,34.4
2016-03-01,51.1
2016-04-01,68.8
2016-05-01,38.9
2016-06-01,35.0
2016-07-01,32.9
2016-08-01,41.6
2016-09-01,18.4
2016-10-01,16.3
2016-11-01,14.4
2016-12-01,29.6
2017-01-01,19.4
2017-02-01,62.4
2017-03-01,67.6
2017-04-01,69.9
2017-05-01,42.1
2017-06-01,41.3
2017-07-01,46.4
2017-08-01,21.2
2017-09-01,19.1
2017-10-01,28.2
2017-11-01,23.7
2017-12-01,27.8
2018-01-01,39.0
2018-02-01,46.9
2018-03-01,64.7
2018-04-01,53.1
2018-05-01,51.8
2018-06-01,31.3
2018-07-01,30.1
2018-08-01,26.2
2018-09-01,9.0
2018-10-01,7.7
2018-11-01,14.0
2018-12-01,14.9
2019-01-01,14.9
2019-02-01,18.7
2019-03-01,33.8
2019-04-01,31.4
2019-05-01,41.8
2019-06-01,40.0
2019-07-01,14.8
2019-08-01,23.1
2019-09-01,23.9
2019-10-01,18.9
2019-11-01,24.3
2019-12-01,10.3
2020-01-01,20.5
2020-02-01,62.2
2020-03-01,23.4
2020-04-01,2.3
2020-05-01,23.5
2020-06-01,46.6
2020-07-01,62.1
2020-08-01,27.6
2020-09-01,27.7
2020-10-01,20.5
2020-11-01,13.6
2020-12-01,31.4
2021-01-01,44.3
2021-02-01,17.0
2021-03-01,65.0
2021-04-01,47.9
2021-05-01,28.4
2021-06-01,58.2
2021-07-01,39.0
2021-08-01,38.7
2021-09-01,9.7
2021-10-01,13.6
2021-11-01,5.1
2021-12-01,30.3
2022-01-01,21.7
2022-02-01,48.3
2022-03-01,58.2
2022-04-01,42.8
2022-05-01,17.5
2022-06-01,29.7
2022-07-01,39.3
2022-08-01,22.7
2022-09-01,11.9
2022-10-01,18.5
2022-11-01,9.0
2022-12-01,16.5
2023-01-01,35.9
2023-02-01,54.8
2023-03-01,38.3
2023-04-01,49.1
2023-05-01,39.0
2023-06-01,29.2
2023-07-01,52.7
2023-08-01,34.6
2023-09-01,31.4
2023-10-01,22.4
2023-11-01,36.9
2023-12-01,52.3
2024-01-01,44.4
2024-02-01,46.2
2024-03-01,37.3
2024-04-01,28.2
2024-05-01,30.6
2024-06-01,25.1
2024-07-01,31.9
2024-08-01,23.2
2024-09-01,23.7
2024-10-01,23.6
2024-11-01,25.6
2024-12-01,37.9
2025-01-01,50.5
2025-02-01,42.5
2025-03-01,47.4
2025-04-01,36.9
2025-05-01,37.5
2025-06-01,34.2
2025-07-01,22.6
2025-08-01,36.6
2025-09-01,40.8
