Tarih,TP_IYA_CDUR2_S22_A
2015-06-01,44.4
2015-07-01,24.0
2015-08-01,54.4
2015-09-01,53.8
2015-10-01,50.0
2015-11-01,9.4
2015-12-01,46.9
2016-01-01,61.8
2016-02-01,29.6
2016-03-01,27.2
2016-04-01,30.8
2016-05-01,27.8
2016-06-01,11.7
2016-07-01,21.9
2016-08-01,58.6
2016-09-01,57.1
2016-10-01,40.2
2016-11-01,62.9
2016-12-01,76.2
2017-01-01,71.9
2017-02-01,75.1
2017-03-01,78.1
2017-04-01,31.4
2017-05-01,39.8
2017-06-01,52.0
2017-07-01,53.3
2017-08-01,20.2
2017-09-01,18.7
2017-10-01,37.4
2017-11-01,56.3
2017-12-01,54.3
2018-01-01,54.4
2018-02-01,41.4
2018-03-01,73.0
2018-04-01,65.0
2018-05-01,46.0
2018-06-01,42.6
2018-07-01,41.6
2018-08-01,54.7
2018-09-01,52.0
2018-10-01,53.8
2018-11-01,39.7
2018-12-01,30.9
2019-01-01,49.2
2019-02-01,21.1
2019-03-01,18.0
2019-04-01,27.8
2019-05-01,52.4
2019-06-01,52.3
2019-07-01,31.0
2019-08-01,10.9
2019-09-01,18.1
2019-10-01,9.1
2019-11-01,16.1
2019-12-01,41.9
2020-01-01,20.2
2020-02-01,39.3
2020-03-01,53.6
2020-04-01,23.5
2020-05-01,32.8
2020-06-01,31.7
2020-07-01,37.8
2020-08-01,46.9
2020-09-01,56.5
2020-10-01,58.9
2020-11-01,26.4
2020-12-01,47.7
2021-01-01,22.9
2021-02-01,31.4
2021-03-01,34.7
2021-04-01,61.9
2021-05-01,63.3
2021-06-01,67.6
2021-07-01,61.3
2021-08-01,62.3
2021-09-01,37.9
2021-10-01,53.4
2021-11-01,45.3
2021-12-01,81.2
2022-01-01,68.4
2022-02-01,67.1
2022-03-01,63.0
2022-04-01,71.2
2022-05-01,66.3
2022-06-01,61.2
2022-07-01,48.2
2022-08-01,45.6
2022-09-01,57.6
2022-10-01,48.5
2022-11-01,52.3
2022-12-01,43.5
2023-01-01,51.5
2023-02-01,42.5
2023-03-01,27.0
2023-04-01,32.9
2023-05-01,50.8
2023-06-01,54.9
2023-07-01,66.8
2023-08-01,56.3
2023-09-01,59.1
2023-10-01,31.5
2023-11-01,55.4
2023-12-01,64.1
2024-01-01,66.4
2024-02-01,51.4
2024-03-01,59.1
2024-04-01,40.5
2024-05-01,45.2
2024-06-01,30.9
2024-07-01,33.2
2024-08-01,44.5
2024-09-01,37.5
2024-10-01,41.1
2024-11-01,36.7
2024-12-01,52.7
2025-01-01,51.1
2025-02-01,42.6
2025-03-01,43.6
2025-04-01,41.3
2025-05-01,35.6
2025-06-01,40.7
2025-07-01,35.0
2025-08-01,38.7
2025-09-01,41.5
