Tarih,TP_IYA_CDUR2_S02_B
2015-06-01,95.3
2015-07-01,95.1
2015-08-01,82.6
2015-09-01,82.3
2015-10-01,66.7
2015-11-01,67.4
2015-12-01,75.6
2016-01-01,74.6
2016-02-01,70.2
2016-03-01,59.3
2016-04-01,59.9
2016-05-01,84.7
2016-06-01,84.1
2016-07-01,72.7
2016-08-01,70.3
2016-09-01,70.7
2016-10-01,71.3
2016-11-01,72.1
2016-12-01,87.3
2017-01-01,79.6
2017-02-01,72.7
2017-03-01,77.2
2017-04-01,77.5
2017-05-01,68.6
2017-06-01,93.0
2017-07-01,80.3
2017-08-01,97.4
2017-09-01,97.3
2017-10-01,95.1
2017-11-01,81.9
2017-12-01,82.0
2018-01-01,84.3
2018-02-01,85.4
2018-03-01,68.0
2018-04-01,83.8
2018-05-01,96.0
2018-06-01,83.4
2018-07-01,87.2
2018-08-01,82.9
2018-09-01,79.3
2018-10-01,75.7
2018-11-01,87.2
2018-12-01,81.4
2019-01-01,84.5
2019-02-01,90.8
2019-03-01,83.8
2019-04-01,86.8
2019-05-01,62.5
2019-06-01,76.6
2019-07-01,92.5
2019-08-01,84.4
2019-09-01,87.9
2019-10-01,87.8
2019-11-01,93.5
2019-12-01,91.2
2020-01-01,91.4
2020-02-01,90.5
2020-03-01,79.3
2020-04-01,16.4
2020-05-01,19.5
2020-06-01,58.8
2020-07-01,58.7
2020-08-01,42.6
2020-09-01,58.0
2020-10-01,77.9
2020-11-01,76.6
2020-12-01,67.2
2021-01-01,70.0
2021-02-01,67.2
2021-03-01,76.3
2021-04-01,64.5
2021-05-01,76.0
2021-06-01,83.6
2021-07-01,90.7
2021-08-01,85.0
2021-09-01,92.2
2021-10-01,96.0
2021-11-01,93.5
2021-12-01,86.2
2022-01-01,89.8
2022-02-01,92.9
2022-03-01,92.6
2022-04-01,68.6
2022-05-01,91.3
2022-06-01,87.9
2022-07-01,63.6
2022-08-01,90.1
2022-09-01,65.6
2022-10-01,69.2
2022-11-01,69.2
2022-12-01,69.9
2023-01-01,70.3
2023-02-01,92.5
2023-03-01,92.8
2023-04-01,84.5
2023-05-01,90.3
2023-06-01,91.6
2023-07-01,93.7
2023-08-01,92.4
2023-09-01,90.6
2023-10-01,83.3
2023-11-01,83.2
2023-12-01,89.1
2024-01-01,89.5
2024-02-01,72.0
2024-03-01,66.9
2024-04-01,74.5
2024-05-01,83.0
2024-06-01,79.3
2024-07-01,80.8
2024-08-01,74.3
2024-09-01,65.5
2024-10-01,84.9
2024-11-01,62.0
2024-12-01,90.9
2025-01-01,88.5
2025-02-01,88.7
2025-03-01,91.9
2025-04-01,73.4
2025-05-01,88.2
2025-06-01,87.3
2025-07-01,86.7
2025-08-01,85.5
2025-09-01,81.7
