Tarih,TP_IYA_CDUR2_S28_B
2015-06-01,60.0
2015-07-01,89.9
2015-08-01,56.5
2015-09-01,58.4
2015-10-01,89.7
2015-11-01,92.7
2015-12-01,84.8
2016-01-01,84.1
2016-02-01,72.5
2016-03-01,77.0
2016-04-01,74.1
2016-05-01,72.2
2016-06-01,72.6
2016-07-01,67.7
2016-08-01,73.5
2016-09-01,62.8
2016-10-01,72.6
2016-11-01,72.7
2016-12-01,60.6
2017-01-01,83.3
2017-02-01,81.7
2017-03-01,56.1
2017-04-01,56.9
2017-05-01,83.0
2017-06-01,40.8
2017-07-01,36.3
2017-08-01,87.1
2017-09-01,85.4
2017-10-01,67.6
2017-11-01,65.4
2017-12-01,62.1
2018-01-01,64.3
2018-02-01,49.7
2018-03-01,93.5
2018-04-01,74.0
2018-05-01,47.0
2018-06-01,72.0
2018-07-01,60.0
2018-08-01,74.6
2018-09-01,41.7
2018-10-01,42.3
2018-11-01,76.8
2018-12-01,76.5
2019-01-01,79.6
2019-02-01,86.0
2019-03-01,86.4
2019-04-01,67.9
2019-05-01,67.0
2019-06-01,82.6
2019-07-01,86.0
2019-08-01,70.3
2019-09-01,76.0
2019-10-01,69.9
2019-11-01,89.5
2019-12-01,85.9
2020-01-01,78.8
2020-02-01,79.7
2020-03-01,78.1
2020-04-01,25.5
2020-05-01,39.8
2020-06-01,74.0
2020-07-01,73.4
2020-08-01,81.4
2020-09-01,53.3
2020-10-01,88.1
2020-11-01,88.4
2020-12-01,87.7
2021-01-01,87.6
2021-02-01,89.4
2021-03-01,84.7
2021-04-01,56.6
2021-05-01,57.0
2021-06-01,63.1
2021-07-01,77.4
2021-08-01,84.0
2021-09-01,52.3
2021-10-01,76.9
2021-11-01,78.8
2021-12-01,69.5
2022-01-01,72.4
2022-02-01,70.5
2022-03-01,63.9
2022-04-01,86.7
2022-05-01,61.9
2022-06-01,59.4
2022-07-01,70.4
2022-08-01,85.3
2022-09-01,63.4
2022-10-01,66.7
2022-11-01,81.8
2022-12-01,85.4
2023-01-01,88.4
2023-02-01,79.6
2023-03-01,83.3
2023-04-01,80.8
2023-05-01,75.7
2023-06-01,83.7
2023-07-01,83.6
2023-08-01,82.5
2023-09-01,83.9
2023-10-01,84.6
2023-11-01,86.7
2023-12-01,88.0
2024-01-01,85.9
2024-02-01,74.5
2024-03-01,78.2
2024-04-01,81.8
2024-05-01,79.1
2024-06-01,65.5
2024-07-01,66.5
2024-08-01,89.8
2024-09-01,67.8
2024-10-01,72.8
2024-11-01,83.8
2024-12-01,83.2
2025-01-01,90.8
2025-02-01,85.2
2025-03-01,82.7
2025-04-01,80.6
2025-05-01,86.6
2025-06-01,84.9
2025-07-01,88.2
2025-08-01,88.0
2025-09-01,78.3
