Tarih,TP_METALIHR_G971
2016-09-01,313636.254
2016-10-01,739080.277
2016-11-01,627249.824
2016-12-01,304434.534
2017-01-01,531640.484
2017-02-01,619282.608
2017-03-01,739644.712
2017-04-01,735079.873
2017-05-01,589870.315
2017-06-01,647049.659
2017-07-01,947569.253
2017-08-01,641214.96
2017-09-01,367894.732
2017-10-01,313861.098
2017-11-01,356765.769
2017-12-01,115408.71
2018-01-01,31282.311
2018-02-01,78798.611
2018-03-01,309993.193
2018-04-01,222572.393
2018-05-01,74327.593
2018-06-01,72070.147
2018-07-01,120621.187
2018-08-01,827191.405
2018-09-01,458939.791
2018-10-01,284340.558
2018-11-01,38520.25
2018-12-01,68760.206
2019-01-01,151485.966
2019-02-01,92913.589
2019-03-01,87803.338
2019-04-01,62057.47
2019-05-01,164135.521
2019-06-01,140744.743
2019-07-01,345034.756
2019-08-01,410298.333
2019-09-01,256775.302
2019-10-01,73975.454
2019-11-01,75863.801
2019-12-01,139615.112
2020-01-01,116748.138
2020-02-01,160783.681
2020-03-01,240439.732
2020-04-01,96843.796
2020-05-01,515515.987
2020-06-01,390980.023
2020-07-01,166156.097
2020-08-01,280934.622
2020-09-01,104843.007
2020-10-01,443606.99
2020-11-01,41918.057
2020-12-01,221227.048
2021-01-01,489896.92
2021-02-01,154925.677
2021-03-01,436239.731
2021-04-01,314234.837
2021-05-01,240703.08
2021-06-01,165304.084
2021-07-01,66060.597
2021-08-01,179231.603
2021-09-01,48892.463
2021-10-01,296958.112
2021-11-01,697691.935
2021-12-01,392562.876
2022-01-01,82975.245
2022-02-01,86658.733
2022-03-01,83894.832
2022-04-01,47773.863
2022-05-01,46984.604
2022-06-01,85920.304
2022-07-01,45658.728
2022-08-01,100660.591
2022-09-01,120866.26
2022-10-01,88637.702
2022-11-01,148860.615
2022-12-01,112360.664
2023-01-01,125212.472
2023-02-01,194004.013
2023-03-01,368171.382
2023-04-01,154495.765
2023-05-01,173449.194
2023-06-01,278753.952
2023-07-01,299563.099
2023-08-01,262949.281
2023-09-01,552803.113
2023-10-01,643224.724
2023-11-01,827039.684
2023-12-01,449988.768
2024-01-01,88492.2
2024-02-01,110539.482
2024-03-01,89020.715
2024-04-01,375308.435
2024-05-01,415244.843
2024-06-01,133205.247
2024-07-01,730898.448
2024-08-01,543176.32
2024-09-01,187568.755
2024-10-01,142379.715
2024-11-01,310900.184
2024-12-01,355248.359
2025-01-01,384317.397
2025-02-01,260158.034
2025-03-01,445802.458
2025-04-01,217511.924
2025-05-01,339235.149
2025-06-01,127726.533
2025-07-01,442576.465
2025-08-01,159328.109
