Tarih,TP_UREN_K35_2021
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,
2008-01-01,
2008-04-01,
2008-07-01,
2008-10-01,
2009-01-01,73.94
2009-04-01,100.75
2009-07-01,102.13
2009-10-01,89.11
2010-01-01,77.45
2010-04-01,92.67
2010-07-01,82.65
2010-10-01,89.59
2011-01-01,74.5
2011-04-01,92.06
2011-07-01,88.22
2011-10-01,87.99
2012-01-01,69.99
2012-04-01,84.54
2012-07-01,79.95
2012-10-01,90.43
2013-01-01,70.61
2013-04-01,86.43
2013-07-01,82.76
2013-10-01,87.07
2014-01-01,68.74
2014-04-01,80.26
2014-07-01,81.72
2014-10-01,85.48
2015-01-01,73.12
2015-04-01,87.74
2015-07-01,87.01
2015-10-01,94.28
2016-01-01,78.84
2016-04-01,87.91
2016-07-01,81.02
2016-10-01,96.89
2017-01-01,86.5
2017-04-01,100.0
2017-07-01,111.31
2017-10-01,95.44
2018-01-01,81.12
2018-04-01,88.69
2018-07-01,90.84
2018-10-01,109.37
2019-01-01,90.47
2019-04-01,102.46
2019-07-01,86.97
2019-10-01,101.9
2020-01-01,82.73
2020-04-01,72.83
2020-07-01,99.3
2020-10-01,111.18
2021-01-01,85.09
2021-04-01,92.23
2021-07-01,102.65
2021-10-01,120.04
2022-01-01,92.36
2022-04-01,104.58
2022-07-01,100.93
2022-10-01,123.62
2023-01-01,95.19
2023-04-01,108.17
2023-07-01,102.16
2023-10-01,110.57
2024-01-01,92.55
2024-04-01,91.21
2024-07-01,97.81
2024-10-01,113.78
2025-01-01,87.63
2025-04-01,94.93
