Tarih,TP_PBD_T02
2020-03-01,6365.0
2020-04-01,9144.0
2020-05-01,6041.0
2020-06-01,6917.0
2020-07-01,4484.0
2020-08-01,5327.0
2020-09-01,7945.0
2020-10-01,10138.0
2020-11-01,5406.0
2020-12-01,6254.0
2021-01-01,5389.0
2021-02-01,5914.0
2021-03-01,4528.0
2021-04-01,5049.0
2021-05-01,4263.0
2021-06-01,11816.0
2021-07-01,11383.0
2021-08-01,8432.0
2021-09-01,7574.0
2021-10-01,10309.0
2021-11-01,19399.0
2021-12-01,9931.0
2022-01-01,18041.0
2022-02-01,21461.0
2022-03-01,7947.0
2022-04-01,10677.0
2022-05-01,27481.0
2022-06-01,13797.0
2022-07-01,11545.0
2022-08-01,17625.0
2022-09-01,37521.0
2022-10-01,13466.0
2022-11-01,20124.0
2022-12-01,61431.0
2023-01-01,24306.0
2023-02-01,30778.0
2023-03-01,56208.0
2023-04-01,25685.0
2023-05-01,185636.0
2023-06-01,38174.0
2023-07-01,27775.0
2023-08-01,44355.0
2023-09-01,28855.0
2023-10-01,18796.0
2023-11-01,32490.0
2023-12-01,44721.0
2024-01-01,30499.0
2024-02-01,44452.0
2024-03-01,65035.0
2024-04-01,52874.0
2024-05-01,55132.0
2024-06-01,47483.0
2024-07-01,51622.0
2024-08-01,23301.0
2024-09-01,23292.0
2024-10-01,25133.0
2024-11-01,19819.0
2024-12-01,30548.0
2025-01-01,28445.0
2025-02-01,31486.0
2025-03-01,47113.0
2025-04-01,45348.0
2025-05-01,28098.0
2025-06-01,44293.0
2025-07-01,40486.0
2025-08-01,72997.0
