Tarih,TP_PBD_V07
2021-12-01,5723525.0
2022-01-01,5747821.0
2022-02-01,6996700.0
2022-03-01,7165834.0
2022-04-01,7722144.0
2022-05-01,8878689.0
2022-06-01,9458010.0
2022-07-01,11394552.0
2022-08-01,11077339.0
2022-09-01,11339342.0
2022-10-01,11295703.0
2022-11-01,12910265.0
2022-12-01,13398586.0
2023-01-01,12906729.0
2023-02-01,10372669.0
2023-03-01,9891857.0
2023-04-01,8991679.0
2023-05-01,7960822.0
2023-06-01,9123810.0
2023-07-01,10644409.0
2023-08-01,11536403.0
2023-09-01,11830592.0
2023-10-01,12368390.0
2023-11-01,14755680.0
2023-12-01,14993350.0
2024-01-01,15527007.0
2024-02-01,18950601.0
2024-03-01,18658537.0
2024-04-01,20262719.0
2024-05-01,18278925.0
2024-06-01,21126723.0
2024-07-01,18229641.0
2024-08-01,21918393.0
2024-09-01,24591676.0
2024-10-01,22042403.0
2024-11-01,18536290.0
2024-12-01,24482355.0
2025-01-01,29770765.0
2025-02-01,29342085.0
2025-03-01,23411590.0
2025-04-01,16148837.0
2025-05-01,17965648.0
2025-06-01,24416527.0
2025-07-01,24306726.0
2025-08-01,27518877.0
