Tarih,TP_PBD_V262
2022-02-01,206383.0
2022-03-01,183215.0
2022-04-01,722129.0
2022-05-01,853870.0
2022-06-01,972487.0
2022-07-01,859000.0
2022-08-01,915351.0
2022-09-01,1065409.0
2022-10-01,1090824.0
2022-11-01,982958.0
2022-12-01,819586.0
2023-01-01,878272.0
2023-02-01,1252055.0
2023-03-01,954639.0
2023-04-01,997097.0
2023-05-01,954253.0
2023-06-01,2417021.0
2023-07-01,2161617.0
2023-08-01,1987054.0
2023-09-01,1975287.0
2023-10-01,1878679.0
2023-11-01,1903972.0
2023-12-01,1725051.0
2024-01-01,1375286.0
2024-02-01,1334357.0
2024-03-01,1452652.0
2024-04-01,1715305.0
2024-05-01,2093365.0
2024-06-01,1661432.0
2024-07-01,1503959.0
2024-08-01,1296193.0
2024-09-01,1311407.0
2024-10-01,1533738.0
2024-11-01,1700150.0
2024-12-01,1447234.0
2025-01-01,1240474.0
2025-02-01,1462924.0
2025-03-01,1864357.0
2025-04-01,2371283.0
2025-05-01,1866779.0
2025-06-01,2066506.0
2025-07-01,2347347.0
2025-08-01,1746792.0
