Tarih,TP_RP03_MKR
2000-01-03,2324966.0
2000-01-04,2385996.0
2000-01-05,1827869.0
2000-01-06,1893442.0
2000-01-07,1927988.0
2000-01-10,
2000-01-11,
2000-01-12,
2000-01-13,1927518.0
2000-01-14,2059723.0
2000-01-17,2186342.0
2000-01-18,2140647.0
2000-01-19,2420869.0
2000-01-20,2317276.0
2000-01-21,2369329.0
2000-01-24,2283342.0
2000-01-25,2127443.0
2000-01-26,2135167.0
2000-01-27,2127345.0
2000-01-28,2149678.0
2000-01-31,2162148.0
2000-02-01,2292994.0
2000-02-02,2203366.0
2000-02-03,2175322.0
2000-02-04,2128380.0
2000-02-07,2167375.0
2000-02-08,2188325.0
2000-02-09,2367766.0
2000-02-10,2386080.0
2000-02-11,2472713.0
2000-02-14,2476647.0
2000-02-15,2514514.0
2000-02-16,2632194.0
2000-02-17,2647583.0
2000-02-18,2387329.0
2000-02-21,2374622.0
2000-02-22,2447248.0
2000-02-23,2446978.0
2000-02-24,2371636.0
2000-02-25,2441306.0
2000-02-28,2605777.0
2000-02-29,2560853.0
2000-03-01,2492289.0
2000-03-02,2348542.0
2000-03-03,2405995.0
2000-03-06,2331345.0
2000-03-07,2331249.0
2000-03-08,2518609.0
2000-03-09,2558405.0
2000-03-10,2434536.0
2000-03-13,2386054.0
2000-03-14,2394127.0
2000-03-15,2623353.0
2000-03-16,
2000-03-17,
2000-03-20,2813230.0
2000-03-21,2743320.0
2000-03-22,2628973.0
2000-03-23,2575066.0
2000-03-24,2361945.0
2000-03-27,2297067.0
2000-03-28,2360601.0
2000-03-29,2334093.0
2000-03-30,2240103.0
2000-03-31,2289061.0
2000-04-03,2141711.0
2000-04-04,2411370.0
2000-04-05,2275241.0
2000-04-06,2246956.0
2000-04-07,2134664.0
2000-04-10,2269927.0
2000-04-11,2187673.0
2000-04-12,2187525.0
2000-04-13,2170233.0
2000-04-14,2285577.0
2000-04-17,2234056.0
2000-04-18,2286620.0
2000-04-19,2361003.0
2000-04-20,2260343.0
2000-04-21,2298297.0
2000-04-24,2241450.0
2000-04-25,2253739.0
2000-04-26,2216518.0
2000-04-27,2286370.0
2000-04-28,2222295.0
