Tarih,TP_RP01_MYR
2000-01-03,4244334.0
2000-01-04,4387729.0
2000-01-05,4371836.0
2000-01-06,4281187.0
2000-01-07,4462513.0
2000-01-10,
2000-01-11,
2000-01-12,
2000-01-13,4033646.0
2000-01-14,4179528.0
2000-01-17,4025716.0
2000-01-18,4194728.0
2000-01-19,4200911.0
2000-01-20,3910561.0
2000-01-21,4036688.0
2000-01-24,3951037.0
2000-01-25,3755005.0
2000-01-26,3774084.0
2000-01-27,3780848.0
2000-01-28,3439770.0
2000-01-31,4954936.0
2000-02-01,5013923.0
2000-02-02,5196171.0
2000-02-03,4932923.0
2000-02-04,5107738.0
2000-02-07,4646246.0
2000-02-08,4819884.0
2000-02-09,5172485.0
2000-02-10,5489637.0
2000-02-11,5367702.0
2000-02-14,5686149.0
2000-02-15,5698282.0
2000-02-16,5791736.0
2000-02-17,5931245.0
2000-02-18,5879964.0
2000-02-21,5918456.0
2000-02-22,6075358.0
2000-02-23,6229547.0
2000-02-24,5938396.0
2000-02-25,5896378.0
2000-02-28,6228266.0
2000-02-29,6288799.0
2000-03-01,6263596.0
2000-03-02,6461635.0
2000-03-03,6797741.0
2000-03-06,6722521.0
2000-03-07,6992608.0
2000-03-08,6847198.0
2000-03-09,6591818.0
2000-03-10,6731256.0
2000-03-13,6895160.0
2000-03-14,7115848.0
2000-03-15,7387486.0
2000-03-16,
2000-03-17,
2000-03-20,6780728.0
2000-03-21,6978151.0
2000-03-22,6975804.0
2000-03-23,6962143.0
2000-03-24,7263120.0
2000-03-27,7126266.0
2000-03-28,7273417.0
2000-03-29,7222692.0
2000-03-30,7101659.0
2000-03-31,7320710.0
2000-04-03,7179699.0
2000-04-04,7249316.0
2000-04-05,7143027.0
2000-04-06,6899383.0
2000-04-07,6943756.0
2000-04-10,6471271.0
2000-04-11,6820642.0
2000-04-12,6826251.0
2000-04-13,6741952.0
2000-04-14,6800894.0
2000-04-17,6574255.0
2000-04-18,6605751.0
2000-04-19,7005588.0
2000-04-20,6990591.0
2000-04-21,7053876.0
2000-04-24,7067600.0
2000-04-25,7038093.0
2000-04-26,7015489.0
2000-04-27,6997435.0
2000-04-28,7202995.0
2000-05-01,7013726.0
2000-05-02,6917329.0
2000-05-03,6853890.0
2000-05-04,6936930.0
2000-05-05,7211164.0
2000-05-08,7027241.0
2000-05-09,7109743.0
2000-05-10,7063882.0
2000-05-11,7206416.0
2000-05-12,7400346.0
2000-05-15,7201605.0
2000-05-16,7193553.0
2000-05-17,7329137.0
2000-05-18,7536653.0
2000-05-19,
2000-05-22,7370292.0
2000-05-23,7488745.0
2000-05-24,7715282.0
2000-05-25,7711814.0
2000-05-26,7836442.0
2000-05-29,7660310.0
2000-05-30,7631102.0
2000-05-31,7761067.0
2000-06-01,7691734.0
2000-06-02,7766826.0
2000-06-05,7621910.0
2000-06-06,7693960.0
2000-06-07,7809454.0
2000-06-08,7869462.0
2000-06-09,8051372.0
2000-06-12,7891425.0
2000-06-13,7935872.0
2000-06-14,7992416.0
2000-06-15,7878157.0
2000-06-16,8037484.0
2000-06-19,8056824.0
2000-06-20,7811166.0
2000-06-21,8104865.0
2000-06-22,8218646.0
2000-06-23,8209154.0
2000-06-26,7667333.0
2000-06-27,7705292.0
2000-06-28,7656187.0
2000-06-29,7566059.0
2000-06-30,7480352.0
2000-07-03,7615612.0
2000-07-04,7837714.0
