Tarih,TP_KM_D23
2022-02-01,405286.0
2022-03-01,561452.0
2022-04-01,335231.0
2022-05-01,457709.0
2022-06-01,509754.0
2022-07-01,442130.0
2022-08-01,471429.0
2022-09-01,536080.0
2022-10-01,1226924.0
2022-11-01,1223852.0
2022-12-01,2289964.0
2023-01-01,2533894.0
2023-02-01,2881449.0
2023-03-01,2868125.0
2023-04-01,2750137.0
2023-05-01,2893116.0
2023-06-01,3628399.0
2023-07-01,4442235.0
2023-08-01,5596327.0
2023-09-01,3805998.0
2023-10-01,4109305.0
2023-11-01,5482386.0
2023-12-01,5479095.0
2024-01-01,6009885.0
2024-02-01,5520658.0
2024-03-01,6386016.0
2024-04-01,9182682.0
2024-05-01,8782410.0
2024-06-01,11770496.0
2024-07-01,9381434.0
2024-08-01,9633347.0
2024-09-01,11923306.0
2024-10-01,11793982.0
2024-11-01,12388881.0
2024-12-01,15413023.0
2025-01-01,14811272.0
2025-02-01,14731687.0
2025-03-01,15876172.0
2025-04-01,16094148.0
2025-05-01,18526164.0
2025-06-01,19249278.0
2025-07-01,19550254.0
2025-08-01,20991746.0
