Tarih,TP_KM_D32
2021-08-01,27600373.0
2021-09-01,32196522.0
2021-10-01,34377213.0
2021-11-01,41297667.0
2021-12-01,38708382.0
2022-01-01,39522515.0
2022-02-01,36837960.0
2022-03-01,38722215.0
2022-04-01,34019109.0
2022-05-01,39804426.0
2022-06-01,47565346.0
2022-07-01,58171684.0
2022-08-01,64212996.0
2022-09-01,82907285.0
2022-10-01,84670285.0
2022-11-01,88779630.0
2022-12-01,94022241.0
2023-01-01,98558626.0
2023-02-01,108769918.0
2023-03-01,123717093.0
2023-04-01,131942002.0
2023-05-01,160362960.0
2023-06-01,181841207.0
2023-07-01,187413506.0
2023-08-01,204464276.0
2023-09-01,204282586.0
2023-10-01,237565889.0
2023-11-01,232068621.0
2023-12-01,233313117.0
2024-01-01,236852923.0
2024-02-01,209238041.0
2024-03-01,211676077.0
2024-04-01,190207743.0
2024-05-01,146102272.0
2024-06-01,134605951.0
2024-07-01,122094890.0
2024-08-01,118937193.0
2024-09-01,130637005.0
2024-10-01,125807715.0
2024-11-01,121965451.0
2024-12-01,130546274.0
2025-01-01,145852783.0
2025-02-01,144409411.0
2025-03-01,182775036.0
2025-04-01,173902885.0
2025-05-01,162340523.0
2025-06-01,152793782.0
2025-07-01,166697442.0
2025-08-01,172243413.0
