Tarih,TP_SEKBILTGA_J
2000-01-01,
2001-01-01,
2002-01-01,
2003-01-01,
2004-01-01,
2005-01-01,
2006-01-01,
2007-01-01,
2008-01-01,
2009-01-01,460340.4
2010-01-01,553628.7
2011-01-01,769771.2
2012-01-01,842947.2
2013-01-01,599617.4
2014-01-01,445943.6
2015-01-01,590106.5
2016-01-01,586636.5
2017-01-01,724795.9
2018-01-01,750308.1
2019-01-01,788808.9
2020-01-01,789061.5
2021-01-01,825548.1
2022-01-01,815908.9
2023-01-01,736940.7
