Tarih,TP_AB_A08
2000-10-26,-804273.5
2000-10-27,-812733.0
2000-10-30,-805820.0
2000-10-31,-794851.5
2000-11-01,-798234.2
2000-11-02,-789722.2
2000-11-03,-783124.4
2000-11-06,-774722.9
2000-11-07,-783506.3
2000-11-08,-794771.8
2000-11-09,-798404.9
2000-11-10,-802707.7
2000-11-13,-792971.1
2000-11-14,-802790.9
2000-11-15,-807995.4
2000-11-16,-809752.1
2000-11-17,-815626.9
2000-11-20,-819021.2
2000-11-21,-831936.3
2000-11-22,-835859.0
2000-11-23,-838934.2
2000-11-24,-844097.4
2000-11-27,-845720.5
2000-11-28,-847292.6
2000-11-29,-845059.9
2000-11-30,-846010.2
2000-12-01,-850613.5
2000-12-04,-854233.5
2000-12-05,-856191.0
2000-12-06,-853683.1
2000-12-07,-855315.3
2000-12-08,-854638.6
2000-12-11,-856817.0
2000-12-12,-858069.8
2000-12-13,-860942.9
2000-12-14,-862597.0
2000-12-15,-859345.0
2000-12-18,-853554.8
2000-12-19,-856680.7
2000-12-20,-857820.4
2000-12-21,-862240.6
2000-12-22,-863719.7
2000-12-25,-866201.3
2000-12-26,-868767.3
2000-12-27,
2000-12-28,
2000-12-29,-875206.7
2001-01-01,
2001-01-02,-878059.7
2001-01-03,-876662.1
2001-01-04,-863882.4
2001-01-05,-875930.0
2001-01-08,-872331.2
2001-01-09,-879998.9
2001-01-10,-888765.1
2001-01-11,-889673.1
2001-01-12,-883999.8
2001-01-15,-888943.1
2001-01-16,-907052.0
2001-01-17,-906097.3
2001-01-18,-905830.4
2001-01-19,-907496.8
2001-01-22,-908233.1
2001-01-23,-919251.9
2001-01-24,-912383.0
2001-01-25,-924542.9
2001-01-26,-933534.8
2001-01-29,-927704.1
2001-01-30,-934419.3
2001-01-31,-935463.6
2001-02-01,-931071.4
2001-02-02,-921860.8
2001-02-05,-922733.5
2001-02-06,-924912.9
2001-02-07,-933614.4
2001-02-08,-942077.0
2001-02-09,-955044.0
2001-02-12,-961722.1
2001-02-13,-959260.7
2001-02-14,-958561.2
2001-02-15,-963480.4
2001-02-16,-974136.1
2001-02-19,-968486.3
2001-02-20,-983044.7
2001-02-21,-996318.2
2001-02-22,-999784.4
2001-02-23,-1920512.8
2001-02-26,-2297133.0
2001-02-27,-1868296.4
2001-02-28,-1740891.8
2001-03-01,-1787414.8
2001-03-02,-1769192.9
2001-03-05,
2001-03-06,
2001-03-07,
2001-03-08,
2001-03-09,-1740559.0
2001-03-12,-1696993.2
2001-03-13,-1193230.6
2001-03-14,-1236705.1
2001-03-15,-1373942.6
2001-03-16,-1389922.5
2001-03-19,-1365547.3
2001-03-20,-1350408.4
2001-03-21,-1327948.8
2001-03-22,-1331815.2
2001-03-23,-1344060.7
2001-03-26,-1331725.1
2001-03-27,-1332902.5
2001-03-28,-1336627.1
2001-03-29,-1338286.8
2001-03-30,-1380411.2
2001-04-02,-1379210.7
2001-04-03,-1418056.9
2001-04-04,-1431941.3
2001-04-05,-1409636.7
2001-04-06,-1391514.9
2001-04-09,-1393050.4
2001-04-10,-1392661.1
2001-04-11,-1396638.3
2001-04-12,-1122159.7
2001-04-13,-1115937.0
2001-04-16,-1126856.7
2001-04-17,-1146119.7
2001-04-18,-1090979.5
2001-04-19,-1054197.4
2001-04-20,-1064289.7
2001-04-23,
2001-04-24,-1036224.0
2001-04-25,-1027126.6
2001-04-26,-1052748.7
2001-04-27,-1027719.6
2001-04-30,-1119669.1
2001-05-01,-1168070.3
2001-05-02,-1159784.5
2001-05-03,-1128433.1
2001-05-04,-1117432.2
2001-05-07,-1144914.6
2001-05-08,-1156842.6
2001-05-09,-1159108.5
2001-05-10,-1155354.0
2001-05-11,-1179184.6
2001-05-14,-1171506.5
2001-05-15,-1181768.9
2001-05-16,-1189398.2
2001-05-17,-1204450.4
2001-05-18,-1231797.8
2001-05-21,-1252109.0
2001-05-22,-1234350.4
2001-05-23,-1269311.1
2001-05-24,-1259652.4
2001-05-25,-1257748.7
2001-05-28,-1262214.8
2001-05-29,-1263808.7
2001-05-30,-1260774.4
2001-05-31,-1221540.8
2001-06-01,-1179300.8
2001-06-04,-1238760.4
2001-06-05,-1244170.2
2001-06-06,-1232137.6
2001-06-07,-1233141.5
2001-06-08,-1255978.4
2001-06-11,-1266231.5
2001-06-12,-1237921.4
2001-06-13,-1225074.9
2001-06-14,-1174510.9
2001-06-15,-1226124.7
2001-06-18,-1124959.8
2001-06-19,-1142320.9
2001-06-20,-1133357.2
2001-06-21,-1131084.0
2001-06-22,-1070877.1
2001-06-25,-1077379.6
2001-06-26,-1003068.6
2001-06-27,-1064650.5
2001-06-28,-1112557.4
2001-06-29,-1084023.7
2001-07-02,-1121289.0
2001-07-03,-1126785.1
2001-07-04,-1074889.3
2001-07-05,-1084904.7
2001-07-06,-1092005.6
2001-07-09,-976497.7
2001-07-10,-1022864.0
2001-07-11,-1001722.8
2001-07-12,-908306.1
2001-07-13,-932682.5
2001-07-16,-938116.9
2001-07-17,-878718.8
2001-07-18,-711502.2
2001-07-19,-814392.4
2001-07-20,-809292.3
2001-07-23,-818079.8
2001-07-24,-842030.5
2001-07-25,-853074.3
2001-07-26,-792625.1
2001-07-27,-807728.7
2001-07-30,-786835.1
2001-07-31,-800388.6
2001-08-01,-789522.6
2001-08-02,-754533.0
2001-08-03,-739965.2
2001-08-06,-732020.9
2001-08-07,-708174.2
2001-08-08,-706454.0
2001-08-09,-661137.8
2001-08-10,-597085.7
2001-08-13,-542937.2
2001-08-14,-480531.7
2001-08-15,-350705.4
2001-08-16,-219489.5
2001-08-17,-242532.4
2001-08-20,-318793.4
2001-08-21,-312468.9
2001-08-22,-276832.0
2001-08-23,-191484.9
2001-08-24,-216529.7
2001-08-27,-279382.6
2001-08-28,-337494.2
2001-08-29,-402655.3
2001-08-30,
2001-08-31,-428897.9
2001-09-03,-434290.4
2001-09-04,-418153.2
2001-09-05,-366116.1
2001-09-06,-446478.1
2001-09-07,-525821.2
2001-09-10,-418250.5
2001-09-11,-325259.4
2001-09-12,-373241.8
2001-09-13,-200236.7
2001-09-14,-139471.2
2001-09-17,27272.5
2001-09-18,220018.2
2001-09-19,68268.2
2001-09-20,75017.3
2001-09-21,164997.9
2001-09-24,163317.0
2001-09-25,211826.9
2001-09-26,215411.7
2001-09-27,217637.6
2001-09-28,204278.4
2001-10-01,130535.6
2001-10-02,206702.8
2001-10-03,261873.8
2001-10-04,313473.6
2001-10-05,301480.8
2001-10-08,320843.3
2001-10-09,433232.6
2001-10-10,438994.3
2001-10-11,454734.1
2001-10-12,294196.8
2001-10-15,291813.2
2001-10-16,341254.4
2001-10-17,367886.0
2001-10-18,371192.4
2001-10-19,367201.1
2001-10-22,382606.7
2001-10-23,317104.4
2001-10-24,230653.7
2001-10-25,233565.1
2001-10-26,238995.3
2001-10-29,
2001-10-30,225706.5
2001-10-31,321703.1
2001-11-01,293778.6
2001-11-02,289512.6
2001-11-05,276591.4
2001-11-06,254228.5
2001-11-07,269102.8
2001-11-08,279070.4
2001-11-09,281383.6
2001-11-12,261307.3
2001-11-13,257135.2
2001-11-14,222164.7
2001-11-15,199262.9
2001-11-16,210504.3
2001-11-19,214723.8
