Tarih,TP_AB_A25
2000-01-03,63071.0
2000-01-04,72292.0
2000-01-05,229130.0
2000-01-06,57811.0
2000-01-07,61482.0
2000-01-10,
2000-01-11,65853.0
2000-01-12,153655.0
2000-01-13,129877.0
2000-01-14,101819.0
2000-01-17,103341.0
2000-01-18,142968.0
2000-01-19,147064.0
2000-01-20,159212.0
2000-01-21,111144.0
2000-01-24,121098.0
2000-01-25,169732.0
2000-01-26,127063.0
2000-01-27,119168.0
2000-01-28,308437.0
2000-01-31,408704.0
2000-02-01,299724.0
2000-02-02,241502.0
2000-02-03,258274.0
2000-02-04,223980.0
2000-02-07,227716.0
2000-02-08,247782.0
2000-02-09,229508.0
2000-02-10,311992.0
2000-02-11,253248.0
2000-02-14,242357.0
2000-02-15,271527.0
2000-02-16,246417.0
2000-02-17,252206.0
2000-02-18,597186.0
2000-02-21,300012.0
2000-02-22,290089.0
2000-02-23,449565.0
2000-02-24,728270.0
2000-02-25,732068.0
2000-02-28,539722.0
2000-02-29,917950.0
2000-03-01,952313.0
2000-03-02,896814.0
2000-03-03,880956.0
2000-03-06,834788.0
2000-03-07,743014.0
2000-03-08,483561.0
2000-03-09,433993.0
2000-03-10,304271.0
2000-03-13,271546.0
2000-03-14,384946.0
2000-03-15,232418.0
2000-03-16,
2000-03-17,
2000-03-20,340848.0
2000-03-21,326561.0
2000-03-22,410026.0
2000-03-23,655952.0
2000-03-24,707477.0
2000-03-27,676279.0
2000-03-28,654072.0
2000-03-29,730789.0
2000-03-30,843186.0
2000-03-31,770855.0
2000-04-03,876761.0
2000-04-04,973556.0
2000-04-05,1202708.0
2000-04-06,1004135.0
2000-04-07,983146.0
2000-04-10,966185.0
2000-04-11,912836.0
2000-04-12,860184.0
2000-04-13,454706.0
2000-04-14,336727.0
2000-04-17,462967.0
2000-04-18,665700.0
2000-04-19,262252.0
2000-04-20,353543.0
2000-04-21,325757.0
2000-04-24,327668.0
2000-04-25,507531.0
2000-04-26,403553.0
2000-04-27,298482.0
2000-04-28,551848.0
2000-05-01,568041.0
2000-05-02,549437.0
2000-05-03,480579.0
2000-05-04,811553.0
2000-05-05,782167.0
2000-05-08,793198.0
2000-05-09,775453.0
2000-05-10,699798.0
2000-05-11,406529.0
2000-05-12,457772.0
2000-05-15,446994.0
2000-05-16,443408.0
2000-05-17,226205.0
2000-05-18,216104.0
2000-05-19,
2000-05-22,225669.0
2000-05-23,219109.0
2000-05-24,187460.0
2000-05-25,253201.0
2000-05-26,242567.0
2000-05-29,338841.0
2000-05-30,432690.0
2000-05-31,506298.0
2000-06-01,511248.0
2000-06-02,496439.0
2000-06-05,631715.0
2000-06-06,605576.0
2000-06-07,163558.0
2000-06-08,179243.0
2000-06-09,150801.0
2000-06-12,238589.0
2000-06-13,184825.0
2000-06-14,171528.0
2000-06-15,214021.0
2000-06-16,168776.0
2000-06-19,186730.0
2000-06-20,205503.0
2000-06-21,185622.0
2000-06-22,192912.0
2000-06-23,205059.0
2000-06-26,207833.0
2000-06-27,198741.0
2000-06-28,321040.0
2000-06-29,689309.0
2000-06-30,750090.0
2000-07-03,735268.0
2000-07-04,821451.0
2000-07-05,896230.0
2000-07-06,675338.0
2000-07-07,643621.0
2000-07-10,597059.0
2000-07-11,514884.0
2000-07-12,232747.0
2000-07-13,190738.0
2000-07-14,178643.0
2000-07-17,196135.0
2000-07-18,183432.0
2000-07-19,186128.0
2000-07-20,293185.0
2000-07-21,268584.0
2000-07-24,292242.0
2000-07-25,585922.0
2000-07-26,464967.0
2000-07-27,537515.0
2000-07-28,716796.0
2000-07-31,816435.0
2000-08-01,865297.0
2000-08-02,872460.0
2000-08-03,997346.0
2000-08-04,937294.0
2000-08-07,927225.0
2000-08-08,914921.0
2000-08-09,894263.0
2000-08-10,784430.0
2000-08-11,373425.0
2000-08-14,392027.0
2000-08-15,398007.0
2000-08-16,227470.0
2000-08-17,383002.0
2000-08-18,1061658.0
2000-08-21,1048915.0
2000-08-22,1119358.0
2000-08-23,231696.0
2000-08-24,589947.0
2000-08-25,442623.0
2000-08-28,398705.0
2000-08-29,292312.0
2000-08-30,
2000-08-31,464780.0
2000-09-01,401331.0
2000-09-04,400330.0
2000-09-05,410391.0
2000-09-06,476997.0
2000-09-07,230386.0
2000-09-08,205609.0
2000-09-11,244471.0
2000-09-12,275710.0
2000-09-13,235456.0
2000-09-14,252902.0
2000-09-15,261437.0
2000-09-18,233396.0
2000-09-19,352341.0
2000-09-20,451432.0
2000-09-21,421114.0
2000-09-22,727905.0
2000-09-25,699672.0
2000-09-26,668495.0
2000-09-27,626939.0
2000-09-28,792880.0
2000-09-29,646936.0
2000-10-02,685973.0
2000-10-03,685187.0
2000-10-04,756566.0
2000-10-05,782610.0
2000-10-06,567446.0
2000-10-09,540851.0
2000-10-10,536282.0
2000-10-11,446695.0
2000-10-12,194819.0
2000-10-13,169015.0
2000-10-16,220447.0
2000-10-17,199649.0
2000-10-18,178383.0
2000-10-19,240754.0
2000-10-20,266701.0
2000-10-23,193210.0
2000-10-24,532518.0
2000-10-25,461800.0
2000-10-26,429654.0
2000-10-27,878084.0
2000-10-30,609742.0
2000-10-31,702444.0
2000-11-01,616679.0
2000-11-02,585336.0
2000-11-03,751893.0
2000-11-06,690688.0
2000-11-07,687990.0
2000-11-08,648788.0
2000-11-09,646194.0
2000-11-10,618034.0
2000-11-13,193921.0
2000-11-14,278313.0
2000-11-15,211276.0
2000-11-16,185013.0
2000-11-17,639559.0
2000-11-20,557995.0
2000-11-21,521496.0
2000-11-22,580690.0
2000-11-23,941656.0
2000-11-24,928426.0
2000-11-27,815763.0
2000-11-28,542157.0
2000-11-29,553407.0
2000-11-30,875874.0
2000-12-01,679420.0
2000-12-04,258476.0
2000-12-05,152460.0
2000-12-06,168054.0
2000-12-07,153806.0
2000-12-08,297662.0
2000-12-11,230049.0
2000-12-12,194517.0
2000-12-13,137807.0
2000-12-14,175893.0
2000-12-15,157832.0
2000-12-18,133933.0
2000-12-19,199785.0
2000-12-20,209291.0
2000-12-21,238280.0
2000-12-22,258767.0
2000-12-25,152981.0
2000-12-26,248753.0
2000-12-27,
2000-12-28,
2000-12-29,249161.0
2001-01-01,
2001-01-02,287353.0
2001-01-03,214035.0
2001-01-04,289126.0
2001-01-05,287548.0
2001-01-08,612851.0
2001-01-09,617352.0
2001-01-10,605461.0
2001-01-11,224170.0
2001-01-12,163487.0
2001-01-15,197880.0
2001-01-16,167462.0
2001-01-17,166853.0
2001-01-18,256887.0
2001-01-19,168067.0
2001-01-22,213001.0
2001-01-23,230352.0
2001-01-24,140789.0
2001-01-25,721145.0
2001-01-26,653214.0
2001-01-29,702420.0
2001-01-30,908539.0
2001-01-31,954925.0
2001-02-01,806428.0
2001-02-02,597407.0
2001-02-05,595253.0
2001-02-06,541093.0
2001-02-07,542017.0
2001-02-08,522450.0
2001-02-09,352599.0
2001-02-12,292673.0
2001-02-13,183495.0
2001-02-14,229222.0
2001-02-15,250141.0
2001-02-16,254363.0
2001-02-19,323993.0
2001-02-20,521352.0
2001-02-21,262030.0
2001-02-22,263813.0
2001-02-23,586703.0
2001-02-26,523768.0
2001-02-27,253973.0
2001-02-28,416470.0
2001-03-01,666222.0
2001-03-02,624165.0
2001-03-05,
2001-03-06,
2001-03-07,
2001-03-08,
2001-03-09,604450.0
2001-03-12,446209.0
2001-03-13,373971.0
2001-03-14,375688.0
2001-03-15,386174.0
2001-03-16,320648.0
2001-03-19,318060.0
2001-03-20,367249.0
2001-03-21,591779.0
2001-03-22,566767.0
2001-03-23,1069612.0
2001-03-26,1015796.0
2001-03-27,1001537.0
2001-03-28,1039797.0
2001-03-29,1139962.0
2001-03-30,1155372.0
2001-04-02,1189651.0
2001-04-03,1202507.0
2001-04-04,2149873.0
2001-04-05,2219888.0
2001-04-06,2010329.0
2001-04-09,1996599.0
2001-04-10,1921076.0
2001-04-11,2349824.0
2001-04-12,1769828.0
2001-04-13,1680637.0
2001-04-16,1766645.0
2001-04-17,962180.0
2001-04-18,1628950.0
2001-04-19,794558.0
2001-04-20,674091.0
2001-04-23,
2001-04-24,1029671.0
2001-04-25,1629475.0
2001-04-26,1264454.0
