Tarih,TP_AB_A03
2000-01-03,-1436289.8
2000-01-04,-1434499.1
2000-01-05,-1520546.2
2000-01-06,-1473589.3
2000-01-07,-1472739.8
2000-01-10,
2000-01-11,-1475104.8
2000-01-12,-1233144.7
2000-01-13,-1037209.3
2000-01-14,-1006057.1
2000-01-17,-990339.7
2000-01-18,-988634.6
2000-01-19,-970348.3
2000-01-20,-1037530.1
2000-01-21,-1073558.1
2000-01-24,-1228737.9
2000-01-25,-1545731.0
2000-01-26,-1537513.9
2000-01-27,-1545908.3
2000-01-28,-1554196.5
2000-01-31,-1565236.0
2000-02-01,-1571321.6
2000-02-02,-1574781.6
2000-02-03,-1587384.1
2000-02-04,-1589343.0
2000-02-07,-1588259.8
2000-02-08,-1628801.4
2000-02-09,-1593944.5
2000-02-10,-1459235.3
2000-02-11,-1162318.7
2000-02-14,-1149541.4
2000-02-15,-1150311.0
2000-02-16,-1211719.7
2000-02-17,-1039137.4
2000-02-18,-1497305.0
2000-02-21,-1508271.7
2000-02-22,-1526402.1
2000-02-23,-1524810.1
2000-02-24,-1522782.5
2000-02-25,-1536875.5
2000-02-28,-1546166.8
2000-02-29,-1570194.2
2000-03-01,-1572762.9
2000-03-02,-1590039.7
2000-03-03,-1586636.7
2000-03-06,-1593810.0
2000-03-07,-1612791.9
2000-03-08,-1620899.9
2000-03-09,-1624179.3
2000-03-10,-1653884.6
2000-03-13,-1658512.4
2000-03-14,-1656909.4
2000-03-15,-1639553.9
2000-03-16,
2000-03-17,
2000-03-20,-1640585.9
2000-03-21,-1648391.5
2000-03-22,-1652358.6
2000-03-23,-1664559.9
2000-03-24,-1661178.4
2000-03-27,-1665138.2
2000-03-28,-1674437.1
2000-03-29,-1685451.5
2000-03-30,-1708273.4
2000-03-31,-1720051.6
2000-04-03,-1718088.7
2000-04-04,-1730981.7
2000-04-05,-1735297.4
2000-04-06,-1734548.0
2000-04-07,-1742592.7
2000-04-10,-1747803.4
2000-04-11,-1755462.3
2000-04-12,-1758642.2
