Tarih,TP_AB_A15
2000-10-31,3090149.0
2000-11-01,3191980.0
2000-11-02,3446538.0
2000-11-03,3449852.0
2000-11-06,3360479.0
2000-11-07,3185563.0
2000-11-08,3281369.0
2000-11-09,3254959.0
2000-11-10,3140607.0
2000-11-13,3076756.0
2000-11-14,2998413.0
2000-11-15,3380501.0
2000-11-16,3602113.0
2000-11-17,3514711.0
2000-11-20,3339652.0
2000-11-21,3179145.0
2000-11-22,2316535.0
2000-11-23,2338902.0
2000-11-24,1816926.0
2000-11-27,1276830.0
2000-11-28,556053.0
2000-11-29,-192700.0
2000-11-30,-762985.0
2000-12-01,-673714.0
2000-12-04,-321894.0
2000-12-05,-349404.0
2000-12-06,206667.0
2000-12-07,597706.0
2000-12-08,753599.0
2000-12-11,1186927.0
2000-12-12,1294278.0
2000-12-13,1504062.0
2000-12-14,1708054.0
2000-12-15,1703580.0
2000-12-18,1588946.0
2000-12-19,1645947.0
2000-12-20,1448875.0
2000-12-21,1351715.0
2000-12-22,1164116.0
2000-12-25,1241625.0
2000-12-26,978803.0
2000-12-27,
2000-12-28,
2000-12-29,979884.0
2001-01-01,
2001-01-02,1632691.0
2001-01-03,2133603.0
2001-01-04,2477200.0
2001-01-05,2663573.0
2001-01-08,2800094.0
2001-01-09,3053780.0
2001-01-10,3153481.0
2001-01-11,3386354.0
2001-01-12,3457166.0
2001-01-15,3520790.0
2001-01-16,3522072.0
2001-01-17,3503070.0
2001-01-18,3493102.0
2001-01-19,3562993.0
2001-01-22,3513672.0
2001-01-23,3480932.0
2001-01-24,3667140.0
2001-01-25,3666617.0
2001-01-26,3537271.0
2001-01-29,3456113.0
2001-01-30,3212091.0
2001-01-31,2858579.0
2001-02-01,3205560.0
2001-02-02,3314221.0
2001-02-05,3176260.0
2001-02-06,3218631.0
2001-02-07,3023601.0
2001-02-08,2967335.0
2001-02-09,2895378.0
2001-02-12,2616676.0
2001-02-13,2770211.0
2001-02-14,2995404.0
2001-02-15,3033081.0
2001-02-16,2979158.0
2001-02-19,2884874.0
2001-02-20,1892050.0
2001-02-21,1616207.0
2001-02-22,1611710.0
2001-02-23,1875657.0
2001-02-26,1817194.0
2001-02-27,1714253.0
2001-02-28,1532924.0
2001-03-01,1477417.0
2001-03-02,1194831.0
2001-03-05,
2001-03-06,
2001-03-07,
2001-03-08,
2001-03-09,1168162.0
2001-03-12,1031825.0
2001-03-13,1407112.0
2001-03-14,1245758.0
2001-03-15,995558.0
2001-03-16,667109.0
2001-03-19,534162.0
2001-03-20,502872.0
2001-03-21,-496716.0
2001-03-22,-622552.0
2001-03-23,-729361.0
2001-03-26,-852170.0
2001-03-27,-1114690.0
2001-03-28,-1483527.0
2001-03-29,-1803896.0
2001-03-30,-1994574.0
2001-04-02,-2232372.0
2001-04-03,-2365815.0
2001-04-04,-2474602.0
2001-04-05,-2458333.0
2001-04-06,-2440743.0
2001-04-09,-2050343.0
2001-04-10,-2179515.0
2001-04-11,-2303774.0
2001-04-12,-2588213.0
2001-04-13,-2582391.0
2001-04-16,-2685936.0
2001-04-17,-3568793.0
2001-04-18,-3645309.0
2001-04-19,-4441427.0
2001-04-20,-3589318.0
2001-04-23,
2001-04-24,-3223420.0
2001-04-25,-2794787.0
2001-04-26,-3228155.0
2001-04-27,-2412893.0
2001-04-30,-1868908.0
2001-05-01,-2065708.0
2001-05-02,-2164490.0
2001-05-03,-2366720.0
2001-05-04,-2589399.0
2001-05-07,-2627093.0
2001-05-08,-726994.0
2001-05-09,622771.0
2001-05-10,533480.0
2001-05-11,427229.0
2001-05-14,941060.0
2001-05-15,853300.0
2001-05-16,1000808.0
2001-05-17,3390406.0
2001-05-18,4232906.0
2001-05-21,6088591.0
2001-05-22,6403001.0
2001-05-23,8562352.0
2001-05-24,8604945.0
2001-05-25,8859934.0
2001-05-28,9021979.0
2001-05-29,9049584.0
2001-05-30,8861633.0
2001-05-31,8666886.0
2001-06-01,8691740.0
2001-06-04,8679392.0
2001-06-05,8665917.0
2001-06-06,8547802.0
2001-06-07,8511817.0
2001-06-08,8528267.0
2001-06-11,8520847.0
2001-06-12,8476542.0
2001-06-13,8131479.0
2001-06-14,8005126.0
2001-06-15,7994412.0
2001-06-18,9643088.0
2001-06-19,9302269.0
2001-06-20,8910795.0
2001-06-21,7723358.0
2001-06-22,7486692.0
2001-06-25,7315717.0
2001-06-26,7077539.0
2001-06-27,7092916.0
2001-06-28,7045963.0
2001-06-29,7042396.0
2001-07-02,7034744.0
2001-07-03,7014590.0
2001-07-04,7151022.0
2001-07-05,7110908.0
2001-07-06,7089520.0
2001-07-09,7028507.0
2001-07-10,7232398.0
2001-07-11,7805834.0
2001-07-12,8485551.0
2001-07-13,8286664.0
2001-07-16,8183171.0
2001-07-17,8004325.0
2001-07-18,8678128.0
2001-07-19,8609477.0
2001-07-20,8169393.0
2001-07-23,7816213.0
2001-07-24,7595688.0
2001-07-25,7292984.0
2001-07-26,6997230.0
2001-07-27,6727683.0
2001-07-30,6659656.0
2001-07-31,6636340.0
2001-08-01,6785812.0
2001-08-02,6846673.0
2001-08-03,6718515.0
2001-08-06,6638248.0
2001-08-07,6594617.0
2001-08-08,6560988.0
2001-08-09,6580321.0
2001-08-10,6898866.0
2001-08-13,7435181.0
2001-08-14,7350745.0
2001-08-15,7866757.0
2001-08-16,7863137.0
2001-08-17,7805158.0
2001-08-20,7782952.0
2001-08-21,7641278.0
2001-08-22,7506213.0
2001-08-23,7465855.0
2001-08-24,7323302.0
2001-08-27,7306197.0
2001-08-28,7320758.0
2001-08-29,7101583.0
2001-08-30,
2001-08-31,7011193.0
2001-09-03,6990474.0
2001-09-04,6957123.0
2001-09-05,6811573.0
2001-09-06,6271863.0
2001-09-07,6256941.0
2001-09-10,6165814.0
2001-09-11,6114934.0
2001-09-12,6106132.0
2001-09-13,5913341.0
2001-09-14,5760218.0
2001-09-17,5678450.0
2001-09-18,6104669.0
2001-09-19,6366857.0
2001-09-20,6393077.0
2001-09-21,7119028.0
2001-09-24,6305241.0
2001-09-25,6270383.0
2001-09-26,7208772.0
2001-09-27,7067618.0
2001-09-28,7099888.0
2001-10-01,7023187.0
2001-10-02,6975942.0
2001-10-03,7171134.0
2001-10-04,7152410.0
