Tarih,TP_GSYIH13_IFK_ZH
2000-01-01,13417892.1483539
2000-04-01,20117540.8034354
2000-07-01,21646437.22353389
2000-10-01,22805534.2405391
2001-01-01,13928489.2610646
2001-04-01,19200305.4386059
2001-07-01,20525578.900756
2001-10-01,20264509.2580568
2002-01-01,14079957.36639519
2002-04-01,20815417.5443702
2002-07-01,22217150.0025829
2002-10-01,22101429.5165885
2003-01-01,15509963.48962429
2003-04-01,21647040.67414779
2003-07-01,23818465.7943638
2003-10-01,23917331.3198876
2004-01-01,17954563.84185289
2004-04-01,24971916.57575679
2004-07-01,25410924.90938819
2004-10-01,25240853.9152374
2005-01-01,20232112.122053
2005-04-01,26999070.72005189
2005-07-01,28112627.4585401
2005-10-01,28824925.07722689
2006-01-01,21920793.34875649
2006-04-01,29531447.91636209
2006-07-01,29751166.60856129
2006-10-01,30559785.1617105
2007-01-01,25091273.22734709
2007-04-01,30077561.37530539
2007-07-01,30979968.24752129
2007-10-01,32369083.1626157
2008-01-01,27802310.73979439
2008-04-01,28700612.1201156
2008-07-01,31587192.63393079
2008-10-01,29826542.90050629
2009-01-01,22023651.31393979
2009-04-01,26185035.9038699
2009-07-01,29501159.413943
2009-10-01,30260041.10429739
2010-01-01,25741180.0091165
2010-04-01,31592983.11334839
2010-07-01,34970275.5083386
2010-10-01,37313964.2531789
2011-01-01,28328257.112229
2011-04-01,36069549.8253836
2011-07-01,39162525.20733779
2011-10-01,36778888.37711849
2012-01-01,30698516.4659607
2012-04-01,34420855.20586709
2012-07-01,37736408.59390109
2012-10-01,40618032.19714699
2013-01-01,35572979.00362449
2013-04-01,40183960.3771829
2013-07-01,41833751.1691673
2013-10-01,44409832.45568069
2014-01-01,36463442.51655639
2014-04-01,38529949.95755039
2014-07-01,41016327.8875406
2014-10-01,45147952.0832166
2015-01-01,38535771.21297209
2015-04-01,43259370.80514439
2015-07-01,44632648.44381029
2015-10-01,50434144.36020249
2016-01-01,40151529.81950269
2016-04-01,45241249.97287029
2016-07-01,45283784.4453414
2016-10-01,52657035.93267419
2017-01-01,40429384.15732
2017-04-01,46898183.5138344
2017-07-01,49417297.9011451
2017-10-01,54241534.74792719
2018-01-01,42794489.3609711
2018-04-01,48910876.5140653
2018-07-01,49274584.11589639
2018-10-01,50227795.5022621
2019-01-01,39727925.8231495
2019-04-01,47403476.97232429
2019-07-01,50229399.78695739
2019-10-01,54089701.4777673
2020-01-01,43604217.02073589
2020-04-01,46341906.41381649
2020-07-01,58899248.60843429
2020-10-01,60882748.54012969
2021-01-01,48236431.57812789
2021-04-01,50322018.5900968
2021-07-01,54970550.38984359
2021-10-01,60914163.8745969
2022-01-01,46725761.0777747
2022-04-01,49970456.35088609
2022-07-01,56878897.8207667
2022-10-01,62219512.46560219
2023-01-01,50949250.7945007
2023-04-01,58115815.48586689
2023-07-01,63811378.5832697
2023-10-01,70180160.8381711
2024-01-01,53524220.3814845
2024-04-01,61659496.9958603
2024-07-01,66462790.87709719
2024-10-01,77028745.1893631
2025-01-01,55933177.69483339
2025-04-01,63504257.07984329
