Tarih,TP_GSYIH03_IFK_ZH
2000-01-01,27977592.6057741
2000-04-01,29124053.11315539
2000-07-01,26790988.93057009
2000-10-01,26998009.6522292
2001-01-01,28260890.67317029
2001-04-01,26495391.33792059
2001-07-01,23952236.1493741
2001-10-01,23002064.97005639
2002-01-01,26969394.9266715
2002-04-01,28351965.03722859
2002-07-01,25368660.58415529
2002-10-01,25490468.22512159
2003-01-01,29023155.1521929
2003-04-01,28862740.49846899
2003-07-01,28486865.85924459
2003-10-01,30106886.33447749
2004-01-01,32655436.9819189
2004-04-01,34464239.9004392
2004-07-01,32031932.26132319
2004-10-01,33090151.90580179
2005-01-01,35512590.8770219
2005-04-01,35829895.86127919
2005-07-01,34888611.9264158
2005-10-01,38833215.1032257
2006-01-01,37957445.49398469
2006-04-01,40962796.039451
2006-07-01,37858338.12887129
2006-10-01,42323988.83619389
2007-01-01,41244876.81561499
2007-04-01,42285366.4438315
2007-07-01,40997996.9228738
2007-10-01,45350191.63673049
2008-01-01,45748319.0211047
2008-04-01,44200344.3500099
2008-07-01,40935189.3127394
2008-10-01,39423056.4336687
2009-01-01,33747540.62531989
2009-04-01,38761004.29081869
2009-07-01,39320319.92438779
2009-10-01,42356955.0264945
2010-01-01,37069059.39892149
2010-04-01,41615936.8855841
2010-07-01,41352884.70525489
2010-10-01,48516847.7835038
2011-01-01,47027742.60412299
2011-04-01,50735802.8208867
2011-07-01,50715086.21719069
2011-10-01,54480723.45874699
2012-01-01,49210547.90498589
2012-04-01,52506759.007847
2012-07-01,50957059.4290388
2012-10-01,54879420.8865358
2013-01-01,53099605.23437669
2013-04-01,57984537.22094149
2013-07-01,56262606.4065255
2013-10-01,60526767.41935209
2014-01-01,56779459.18006709
2014-04-01,61027531.1061808
2014-07-01,59336671.813252
2014-10-01,63415888.21488539
2015-01-01,57467782.07715
2015-04-01,63834532.59794099
2015-07-01,61071980.6538968
2015-10-01,69971074.3711315
2016-01-01,62314791.48179809
2016-04-01,67511388.419888
2016-07-01,60041291.44155579
2016-10-01,74310827.2903364
2017-01-01,65000462.67561019
2017-04-01,71137856.7824625
2017-07-01,70065724.2757465
2017-10-01,81057005.9904136
2018-01-01,70490337.5825966
2018-04-01,74497826.1800979
2018-07-01,71284163.9823061
2018-10-01,75047558.1381548
2019-01-01,66012730.42979869
2019-04-01,70815709.974642
2019-07-01,71026001.6364428
2019-10-01,78184465.15098178
2020-01-01,71426321.6844227
2020-04-01,57769022.21871799
2020-07-01,77351231.4496785
2020-10-01,87758557.14001448
2021-01-01,81542055.5563827
2021-04-01,84637310.79172678
2021-07-01,86368595.2715203
2021-10-01,99216504.778034
2022-01-01,88750296.4038781
2022-04-01,91247655.2188294
2022-07-01,87145630.143392
2022-10-01,96518381.8926887
2023-01-01,91722778.3693263
2023-04-01,90965590.8562315
2023-07-01,93059503.2607458
2023-10-01,100169178.452554
2024-01-01,94620180.8455277
2024-04-01,87989427.2355211
2024-07-01,89985010.4485124
2024-10-01,101368345.5685269
2025-01-01,92302441.8539427
2025-04-01,94147614.9862994
