Tarih,TP_GSYIH05_IFK_ZH
2000-01-01,39912586.83691599
2000-04-01,43364771.52073889
2000-07-01,43512271.22624859
2000-10-01,40304180.93164149
2001-01-01,40680511.6308763
2001-04-01,37374240.1889474
2001-07-01,37133882.9743399
2001-10-01,34474868.26171009
2002-01-01,39822693.793118
2002-04-01,41764284.39227429
2002-07-01,41913166.82228939
2002-10-01,40264855.410355
2003-01-01,42463299.3781175
2003-04-01,44069190.06699539
2003-07-01,46376891.6595927
2003-10-01,45650388.1432408
2004-01-01,47964676.5890386
2004-04-01,50547065.86951819
2004-07-01,50505686.38074719
2004-10-01,51230325.9122164
2005-01-01,53188061.0654205
2005-04-01,53248115.3812173
2005-07-01,54351451.2450928
2005-10-01,58743442.55097419
2006-01-01,56667840.10112679
2006-04-01,59748748.8659953
2006-07-01,56275322.300019
2006-10-01,60003820.5913745
2007-01-01,59527220.49486129
2007-04-01,59405914.5738305
2007-07-01,60539506.54824709
2007-10-01,66481429.2707315
2008-01-01,63758904.65254709
2008-04-01,61783583.8315054
2008-07-01,59854889.63782519
2008-10-01,57710619.9525839
2009-01-01,48727703.77686259
2009-04-01,53469393.500453
2009-07-01,56378995.4821015
2009-10-01,60083063.64315819
2010-01-01,51272242.3426648
2010-04-01,58263246.33550039
2010-07-01,61992327.12689639
2010-10-01,65219724.27450039
2011-01-01,58024377.0916152
2011-04-01,65812891.64411229
2011-07-01,69163460.9650814
2011-10-01,73604510.757476
2012-01-01,62117217.58893709
2012-04-01,71255716.1501706
2012-07-01,75001148.7728358
2012-10-01,78009192.3150803
2013-01-01,65914520.08827819
2013-04-01,75109151.2512663
2013-07-01,80429074.1444533
2013-10-01,83619128.9514211
2014-01-01,72098816.1310608
2014-04-01,79416985.5934196
2014-07-01,84381963.7943145
2014-10-01,88698407.5946196
2015-01-01,77206298.4480312
2015-04-01,86426811.9318529
2015-07-01,88303744.5398736
2015-10-01,95311771.2520721
2016-01-01,79656158.9516723
2016-04-01,87098543.8967639
2016-07-01,82975925.48606838
2016-10-01,100282290.741153
2017-01-01,84629188.7489764
2017-04-01,92447974.6171262
2017-07-01,101405365.8530569
2017-10-01,108702900.3012139
2018-01-01,94460238.42777058
2018-04-01,101195237.5246929
2018-07-01,106024804.4071249
2018-10-01,108200773.6885399
2019-01-01,90751152.1403785
2019-04-01,101026488.2986329
2019-07-01,106845875.7503799
2019-10-01,114333085.7381249
2020-01-01,91397417.58609448
2020-04-01,73538724.6294679
2020-07-01,105939721.0070679
2020-10-01,119162889.4704889
2021-01-01,96792870.29658438
2021-04-01,107298316.3552969
2021-07-01,127920514.3632429
2021-10-01,138900516.799685
2022-01-01,112666013.615583
2022-04-01,127485937.9283069
2022-07-01,138179594.613139
2022-10-01,151333828.259974
2023-01-01,127424390.933825
2023-04-01,138221021.6950289
2023-07-01,146486820.7988309
2023-10-01,157161459.5391879
2024-01-01,131591419.024432
2024-04-01,143749194.8421089
2024-07-01,150218681.4936929
2024-10-01,163205921.4954929
2025-01-01,133544322.9206559
2025-04-01,151812727.953265
