Tarih,TP_GSYIH12_IFK_ZH
2000-01-01,148859491.4749319
2000-04-01,163262002.276946
2000-07-01,179591224.3584429
2000-10-01,165445633.409085
2001-01-01,153596335.9950489
2001-04-01,152281374.2866219
2001-07-01,165536338.0405049
2001-10-01,149695084.7231779
2002-01-01,150431401.4526369
2002-04-01,163016125.4228369
2002-07-01,178185575.021676
2002-10-01,168952065.197048
2003-01-01,159037792.5240609
2003-04-01,168054457.339522
2003-07-01,188651955.2242659
2003-10-01,181976631.8281419
2004-01-01,173134141.6029579
2004-04-01,186770978.370406
2004-07-01,205119104.2609179
2004-10-01,201789170.2386539
2005-01-01,188465596.472214
2005-04-01,199643097.141231
2005-07-01,222094812.636545
2005-10-01,224061765.2856329
2006-01-01,200055804.7892859
2006-04-01,220288365.501361
2006-07-01,234063571.519616
2006-10-01,238574550.520668
2007-01-01,213432110.884003
2007-04-01,225392315.5570859
2007-07-01,244199131.5216369
2007-10-01,254459135.2500889
2008-01-01,227809368.055987
2008-04-01,233867552.62869
2008-07-01,247396696.0222139
2008-10-01,238707637.383731
2009-01-01,195965635.139429
2009-04-01,220020779.745918
2009-07-01,245227065.189958
2009-10-01,244326873.811549
2010-01-01,208535299.648476
2010-04-01,234079360.0027199
2010-07-01,263522531.2642759
2010-10-01,264330704.257954
2011-01-01,233185635.4747819
2011-04-01,259687162.1935319
2011-07-01,293174609.2495189
2011-10-01,294537168.6391739
2012-01-01,248114642.6776329
2012-04-01,276166022.353851
2012-07-01,307435634.7202979
2012-10-01,304557691.3988339
2013-01-01,267162009.059852
2013-04-01,301053708.300607
2013-07-01,333259660.459935
2013-10-01,324671755.2649419
2014-01-01,291297825.905923
2014-04-01,311730793.5486959
2014-07-01,345663116.3452519
2014-10-01,342620932.356778
2015-01-01,297946498.575878
2015-04-01,329917407.795337
2015-07-01,364094515.5308499
2015-10-01,367754869.320163
2016-01-01,313200355.079378
2016-04-01,347139748.3854659
2016-07-01,360617874.532989
2016-10-01,383337732.000333
2017-01-01,332481255.7846469
2017-04-01,366823030.266981
2017-07-01,406219459.49355
2017-10-01,415498721.8071759
2018-01-01,359961985.259325
2018-04-01,390883273.6784399
2018-07-01,420124245.007565
2018-10-01,409239941.07726
2019-01-01,355127835.1078339
2019-04-01,388883427.796737
2019-07-01,425126802.997056
2019-10-01,433747263.7232279
2020-01-01,368272768.5568959
2020-04-01,345939201.80418
2020-07-01,447437949.061895
2020-10-01,456734607.8887619
2021-01-01,396623761.0564969
2021-04-01,429292985.545246
2021-07-01,492108594.3422039
2021-10-01,510124975.47358
2022-01-01,432721066.6274359
2022-04-01,465767923.778455
2022-07-01,512896914.11096
2022-10-01,526314781.3466759
2023-01-01,447492909.08161
2023-04-01,481296526.920938
2023-07-01,542934008.018822
2023-10-01,546966452.0735399
2024-01-01,471193605.1432319
2024-04-01,489813946.2515919
2024-07-01,557396546.1300669
2024-10-01,559678605.986674
2025-01-01,480679081.285403
2025-04-01,514490403.4510759
