Tarih,TP_PB_S02
2020-06-01,877345739.0
2020-07-01,933580757.0
2020-08-01,968395457.0
2020-09-01,1002605569.0
2020-10-01,1048317844.0
2020-11-01,1007813018.0
2020-12-01,994288642.0
2021-01-01,979355761.0
2021-02-01,997263717.0
2021-03-01,1034061570.0
2021-04-01,1051225833.0
2021-05-01,1114410406.0
2021-06-01,1135826924.0
2021-07-01,1174492985.0
2021-08-01,1158976412.0
2021-09-01,1227686400.0
2021-10-01,1311532619.0
2021-11-01,1683881143.0
2021-12-01,1813799934.0
2022-01-01,1853337075.0
2022-02-01,1846488593.0
2022-03-01,1984908104.0
2022-04-01,2051677750.0
2022-05-01,2230562843.0
2022-06-01,2269878170.0
2022-07-01,2457423702.0
2022-08-01,2461667374.0
2022-09-01,2544875530.0
2022-10-01,2615430083.0
2022-11-01,2672224872.0
2022-12-01,2852408661.0
2023-01-01,2959524691.0
2023-02-01,3057588398.0
2023-03-01,3252927635.0
2023-04-01,3481440176.0
2023-05-01,3348768825.0
2023-06-01,3899956871.0
2023-07-01,4225822142.0
2023-08-01,4320698358.0
2023-09-01,4229877274.0
2023-10-01,4338169053.0
2023-11-01,4345207464.0
2023-12-01,4481531685.0
2024-01-01,4620761502.0
2024-02-01,4847354195.0
2024-03-01,5192122896.0
2024-04-01,5094097727.0
2024-05-01,4979549824.0
2024-06-01,5174306079.0
2024-07-01,5193863244.0
2024-08-01,5515712463.0
2024-09-01,5768225517.0
2024-10-01,5678758733.0
2024-11-01,5596097493.0
2024-12-01,5803846784.0
2025-01-01,5830088988.0
2025-02-01,6174803737.0
2025-03-01,6696817744.0
2025-04-01,6944656995.0
2025-05-01,6978826211.0
2025-06-01,7453810717.0
2025-07-01,7403162059.0
2025-08-01,7571376528.0
