Tarih,TP_PB_K12
2000-01-01,4340094.0
2000-02-01,4273521.0
2000-03-01,5497167.0
2000-04-01,5125810.0
2000-05-01,5131398.0
2000-06-01,5471749.0
2000-07-01,6448788.0
2000-08-01,6720796.0
2000-09-01,6969892.0
2000-10-01,6949793.0
2000-11-01,7008667.0
2000-12-01,8538093.0
2001-01-01,6653117.0
2001-02-01,7820054.0
2001-03-01,9944887.0
2001-04-01,8953588.0
2001-05-01,11342010.0
2001-06-01,14359342.0
2001-07-01,12389185.0
2001-08-01,13603645.0
2001-09-01,14395990.0
2001-10-01,12959239.0
2001-11-01,13422537.0
2001-12-01,12977946.0
2002-01-01,11518363.0
2002-02-01,11634350.0
2002-03-01,11227914.0
2002-04-01,9874193.0
2002-05-01,12729365.0
2002-06-01,12889759.0
2002-07-01,14961463.0
2002-08-01,13363413.0
2002-09-01,14433600.0
2002-10-01,15811504.0
2002-11-01,14994369.0
2002-12-01,16062425.0
2003-01-01,14197665.0
2003-02-01,13100507.0
2003-03-01,9590567.0
2003-04-01,9861889.0
2003-05-01,9353617.0
2003-06-01,9411442.0
2003-07-01,10998443.0
2003-08-01,11914773.0
2003-09-01,10467646.0
2003-10-01,13154762.0
2003-11-01,13309744.0
2003-12-01,13549494.0
2004-01-01,11831932.0
2004-02-01,10416968.0
2004-03-01,11230641.0
2004-04-01,11689495.0
2004-05-01,13695255.0
2004-06-01,14562095.0
2004-07-01,16416041.0
2004-08-01,19923996.0
2004-09-01,19632581.0
2004-10-01,20132258.0
2004-11-01,21789492.0
2004-12-01,21612859.0
2005-01-01,20391558.0
2005-02-01,20543635.0
2005-03-01,17845551.0
2005-04-01,19286406.0
2005-05-01,21585910.0
2005-06-01,22186691.0
2005-07-01,21661913.0
2005-08-01,25843776.0
2005-09-01,28238430.0
2005-10-01,20686124.0
2005-11-01,21964538.0
2005-12-01,25271590.0
2006-01-01,26877053.0
2006-02-01,24822274.0
2006-03-01,23265046.0
2006-04-01,21163799.0
2006-05-01,29672089.0
2006-06-01,34276697.0
2006-07-01,33938358.0
2006-08-01,35349049.0
2006-09-01,36868097.0
2006-10-01,41290849.0
2006-11-01,43750316.0
2006-12-01,41979087.0
2007-01-01,42484703.0
2007-02-01,43407485.0
2007-03-01,42899824.0
2007-04-01,45305730.0
2007-05-01,50902387.0
2007-06-01,49877577.0
2007-07-01,48542869.0
2007-08-01,46801448.0
2007-09-01,43904757.0
2007-10-01,38976042.0
2007-11-01,39288037.0
2007-12-01,42776611.0
2008-01-01,39948237.0
2008-02-01,43715113.0
2008-03-01,50344470.0
2008-04-01,45788774.0
2008-05-01,51457328.0
2008-06-01,53935030.0
2008-07-01,52703163.0
2008-08-01,51809379.0
2008-09-01,50934029.0
2008-10-01,63949093.0
2008-11-01,61802577.0
2008-12-01,67221166.0
2009-01-01,72139241.0
2009-02-01,70907244.0
2009-03-01,71330916.0
2009-04-01,69894702.0
2009-05-01,66604577.0
2009-06-01,68908860.0
2009-07-01,65493989.0
2009-08-01,64801214.0
2009-09-01,61057316.0
2009-10-01,57706904.0
2009-11-01,59401018.0
2009-12-01,56645169.0
2010-01-01,54479108.0
2010-02-01,55548387.0
2010-03-01,53115411.0
2010-04-01,45108682.0
2010-05-01,46255618.0
2010-06-01,46299413.0
2010-07-01,50514344.0
2010-08-01,48564191.0
2010-09-01,42934772.0
2010-10-01,41455820.0
2010-11-01,39312882.0
2010-12-01,37098906.0
2011-01-01,39282307.0
2011-02-01,45531172.0
2011-03-01,44752176.0
2011-04-01,40741650.0
2011-05-01,43164400.0
2011-06-01,41332055.0
2011-07-01,48183672.0
2011-08-01,53154215.0
2011-09-01,51236418.0
2011-10-01,49484140.0
2011-11-01,45058149.0
2011-12-01,51889133.0
2012-01-01,54091142.0
2012-02-01,49905803.0
2012-03-01,47305527.0
2012-04-01,45780143.0
2012-05-01,43722946.0
2012-06-01,41415770.0
2012-07-01,40766687.0
2012-08-01,38793132.0
2012-09-01,38992586.0
2012-10-01,36269575.0
2012-11-01,37400175.0
2012-12-01,42238724.0
2013-01-01,38708995.0
2013-02-01,37311224.0
2013-03-01,37826597.0
2013-04-01,38974258.0
2013-05-01,40750608.0
2013-06-01,41472458.0
2013-07-01,42344750.0
2013-08-01,46047013.0
2013-09-01,44898214.0
2013-10-01,40882008.0
2013-11-01,41895769.0
2013-12-01,44987417.0
2014-01-01,51437565.0
2014-02-01,44687101.0
2014-03-01,44153434.0
2014-04-01,40740912.0
2014-05-01,40762144.0
2014-06-01,40751272.0
2014-07-01,47309892.0
2014-08-01,42048178.0
2014-09-01,45597679.0
2014-10-01,46383631.0
2014-11-01,43028572.0
2014-12-01,45157412.0
2015-01-01,48580629.0
2015-02-01,53005519.0
2015-03-01,64353775.0
2015-04-01,67023349.0
2015-05-01,74152371.0
2015-06-01,70329241.0
2015-07-01,72926799.0
2015-08-01,85103684.0
2015-09-01,91126031.0
2015-10-01,95176711.0
2015-11-01,88841470.0
2015-12-01,59116230.0
2016-01-01,61499889.0
2016-02-01,67954246.0
2016-03-01,70417827.0
2016-04-01,70958300.0
2016-05-01,78188968.0
2016-06-01,62972708.0
2016-07-01,73623701.0
2016-08-01,65211588.0
2016-09-01,66950168.0
2016-10-01,72340580.0
2016-11-01,83476641.0
2016-12-01,93668026.0
2017-01-01,110802221.0
2017-02-01,101703080.0
2017-03-01,102646324.0
2017-04-01,110460950.0
2017-05-01,121709696.0
2017-06-01,101262419.0
2017-07-01,94069077.0
2017-08-01,91245671.0
2017-09-01,95278444.0
2017-10-01,103839361.0
2017-11-01,107130103.0
2017-12-01,117765715.0
2018-01-01,109864646.0
2018-02-01,113006872.0
2018-03-01,115717634.0
2018-04-01,107590177.0
2018-05-01,125849304.0
2018-06-01,134453895.0
2018-07-01,148755793.0
2018-08-01,237853251.0
2018-09-01,248599971.0
2018-10-01,240716685.0
2018-11-01,214086295.0
2018-12-01,204051840.0
2019-01-01,220682181.0
2019-02-01,223168072.0
2019-03-01,249917627.0
2019-04-01,276497317.0
2019-05-01,251385807.0
2019-06-01,245500053.0
2019-07-01,238435874.0
2019-08-01,249051701.0
2019-09-01,251087456.0
2019-10-01,229586830.0
2019-11-01,231204362.0
2019-12-01,247490700.0
2020-01-01,260240309.0
2020-02-01,251853410.0
2020-03-01,258512459.0
2020-04-01,278677905.0
2020-05-01,269506608.0
