Tarih,TP_GOLDIMPRT_V1
2000-01-01,11750.0
2000-02-01,18775.0
2000-03-01,22000.0
2000-04-01,14050.0
2000-05-01,19750.0
2000-06-01,15400.0
2000-07-01,24850.0
2000-08-01,25400.0
2000-09-01,16100.0
2000-10-01,17625.0
2000-11-01,16450.0
2000-12-01,3150.0
2001-01-01,9500.0
2001-02-01,8000.0
2001-03-01,1325.0
2001-04-01,2400.0
2001-05-01,2000.0
2001-06-01,2800.0
2001-07-01,9500.0
2001-08-01,12500.0
2001-09-01,17450.0
2001-10-01,20160.0
2001-11-01,10450.0
2001-12-01,7400.0
2002-01-01,10050.0
2002-02-01,8150.0
2002-03-01,12500.0
2002-04-01,11250.0
2002-05-01,8150.0
2002-06-01,6300.0
2002-07-01,16500.0
2002-08-01,17550.0
2002-09-01,8600.0
2002-10-01,19080.0
2002-11-01,3790.0
2002-12-01,6985.0
2003-01-01,8605.0
2003-02-01,17520.0
2003-03-01,22115.0
2003-04-01,14325.0
2003-05-01,14975.0
2003-06-01,22150.0
2003-07-01,31257.0
2003-08-01,27745.0
2003-09-01,19625.0
2003-10-01,20050.0
2003-11-01,4500.0
2003-12-01,10775.0
2004-01-01,14650.0
2004-02-01,21750.0
2004-03-01,21000.0
2004-04-01,26000.0
2004-05-01,17350.0
2004-06-01,18500.0
2004-07-01,34000.0
2004-08-01,22550.0
2004-09-01,22200.0
2004-10-01,14850.0
2004-11-01,13430.0
2004-12-01,24650.0
2005-01-01,25236.0
2005-02-01,29411.0
2005-03-01,29180.0
2005-04-01,21735.0
2005-05-01,23025.0
2005-06-01,23030.0
2005-07-01,34625.0
2005-08-01,27030.0
2005-09-01,18135.1
2005-10-01,12979.0
2005-11-01,11678.0
2005-12-01,13425.0
2006-01-01,11900.0
2006-02-01,12079.0
2006-03-01,12193.0
2006-04-01,14244.0
2006-05-01,33475.0
2006-06-01,11050.0
2006-07-01,10675.0
2006-08-01,22050.0
2006-09-01,26604.0
2006-10-01,11475.0
2006-11-01,13900.0
2006-12-01,13075.0
2007-01-01,17150.0
2007-02-01,7425.0
2007-03-01,12630.0
2007-04-01,12225.0
2007-05-01,24600.0
2007-06-01,30746.0
2007-07-01,45690.0
2007-08-01,27735.0
2007-09-01,13605.0
2007-10-01,13965.0
2007-11-01,14075.0
2007-12-01,10950.0
2008-01-01,18777.0
2008-02-01,13075.0
2008-03-01,675.0
2008-04-01,1030.0
2008-05-01,19407.0
2008-06-01,23263.0
2008-07-01,10710.0
2008-08-01,48050.26
2008-09-01,29707.48
2008-10-01,1000.0
2008-11-01,15.0
2008-12-01,227.0
2009-01-01,0.0
2009-02-01,0.0
2009-03-01,40.0
2009-04-01,25.7
2009-05-01,0.0
2009-06-01,4336.0
2009-07-01,14324.74
2009-08-01,12517.0
2009-09-01,1716.92
2009-10-01,4208.83
2009-11-01,393.0
2009-12-01,30.0
2010-01-01,60.0
2010-02-01,310.0
2010-03-01,
2010-04-01,800.0
2010-05-01,
2010-06-01,300.0
2010-07-01,18200.0
2010-08-01,7566.0
2010-09-01,2450.0
2010-10-01,9073.72
2010-11-01,3030.78
2010-12-01,700.0
2011-01-01,11124.33
2011-02-01,5481.76
2011-03-01,903.23
2011-04-01,2190.0
2011-05-01,28.96
2011-06-01,3592.0
2011-07-01,10456.24
2011-08-01,17143.03
2011-09-01,18232.14
2011-10-01,7490.39
2011-11-01,730.61
2011-12-01,2331.62
2012-01-01,2956.84
2012-02-01,2063.17
2012-03-01,2909.48
2012-04-01,7781.16
2012-05-01,19470.04
2012-06-01,23941.59
2012-07-01,34994.41
2012-08-01,11314.12
2012-09-01,3841.95
2012-10-01,3701.74
2012-11-01,4223.1
2012-12-01,3582.81
2013-01-01,11272.22
2013-02-01,17344.98
2013-03-01,18263.6
2013-04-01,45487.07
2013-05-01,43504.55
2013-06-01,44010.01
2013-07-01,37021.18
2013-08-01,13657.95
2013-09-01,4843.07
2013-10-01,15979.77
2013-11-01,19285.03
2013-12-01,31645.06
2014-01-01,6009.18
2014-02-01,1267.51
2014-03-01,2025.02
2014-04-01,4156.65
2014-05-01,11761.02
2014-06-01,24281.99
2014-07-01,1452.99
2014-08-01,2023.64
2014-09-01,12599.0
2014-10-01,6613.4
2014-11-01,47133.32
2014-12-01,11978.15
2015-01-01,2260.13
2015-02-01,2098.15
2015-03-01,1878.49
2015-04-01,2092.33
2015-05-01,1693.96
2015-06-01,1441.98
2015-07-01,15117.57
2015-08-01,11675.59
2015-09-01,1454.56
2015-10-01,1703.35
2015-11-01,2635.13
2015-12-01,4652.16
2016-01-01,1040.62
2016-02-01,1265.91
2016-03-01,1677.77
2016-04-01,3227.64
2016-05-01,9513.9
2016-06-01,9492.91
2016-07-01,4401.22
2016-08-01,5654.45
2016-09-01,7100.26
2016-10-01,18201.01
2016-11-01,7955.91
2016-12-01,36661.47
2017-01-01,10037.27
2017-02-01,18026.82
2017-03-01,28381.78
2017-04-01,23942.79
2017-05-01,48012.79
