Tarih,TP_SEKBILB13A_B
2000-01-01,
2001-01-01,
2002-01-01,
2003-01-01,
2004-01-01,
2005-01-01,
2006-01-01,
2007-01-01,
2008-01-01,
2009-01-01,30.0
2010-01-01,24.0
2011-01-01,32.3
2012-01-01,25.9
2013-01-01,32.4
2014-01-01,31.6
2015-01-01,24.7
2016-01-01,32.3
2017-01-01,25.7
2018-01-01,31.0
2019-01-01,44.2
2020-01-01,38.1
2021-01-01,41.8
2022-01-01,36.3
2023-01-01,31.7
