Tarih,TP_DT_IT_MIK_D20_2010
2022-03-01,18.1142461009
2022-04-01,2.0794680078
2022-05-01,25.1713653906
2022-06-01,9.6045755035
2022-07-01,19.8115608872
2022-08-01,38.8090659454
2022-09-01,21.3092524336
2022-10-01,2.3130723538
2022-11-01,15.2200568717
2022-12-01,17.4758087773
2023-01-01,54.24058075
2023-02-01,32.9407799628
2023-03-01,27.471777892
2023-04-01,6.1272465129
2023-05-01,7.1872109055
2023-06-01,16.1945161991
2023-07-01,64.2479337984
2023-08-01,48.1447806197
2023-09-01,49.0255438403
2023-10-01,49.5371868943
2023-11-01,35.6134898965
2023-12-01,52.5693476722
2024-01-01,35.2723047434
2024-02-01,57.7228239235
2024-03-01,35.0661941864
2024-04-01,50.1290153001
2024-05-01,42.6344366745
2024-06-01,28.5843716067
2024-07-01,21.1503003196
2024-08-01,43.1262441297
2024-09-01,33.3682003135
2024-10-01,61.9412431037
2024-11-01,40.6165909937
2024-12-01,70.7128695617
2025-01-01,78.0245783222
2025-02-01,50.9693431211
2025-03-01,68.1069363689
2025-04-01,57.4752296186
2025-05-01,69.9844115793
2025-06-01,99.7383764692
2025-07-01,134.9988648008
2025-08-01,67.2993245399
