Tarih,TP_UR_S12
2000-01-01,558.0
2000-02-01,944.0
2000-03-01,927.0
2000-04-01,1083.0
2000-05-01,1140.0
2000-06-01,976.0
2000-07-01,608.0
2000-08-01,1059.0
2000-09-01,1307.0
2000-10-01,1153.0
2000-11-01,1182.0
2000-12-01,569.0
2001-01-01,258.0
2001-02-01,479.0
2001-03-01,120.0
2001-04-01,108.0
2001-05-01,269.0
2001-06-01,50.0
2001-07-01,52.0
2001-08-01,438.0
2001-09-01,513.0
2001-10-01,231.0
2001-11-01,220.0
2001-12-01,262.0
2002-01-01,83.0
2002-02-01,298.0
2002-03-01,395.0
2002-04-01,469.0
2002-05-01,430.0
2002-06-01,450.0
2002-07-01,250.0
2002-08-01,265.0
2002-09-01,444.0
2002-10-01,363.0
2002-11-01,367.0
2002-12-01,563.0
2003-01-01,414.0
2003-02-01,350.0
2003-03-01,376.0
2003-04-01,630.0
2003-05-01,408.0
2003-06-01,320.0
2003-07-01,365.0
2003-08-01,514.0
2003-09-01,848.0
2003-10-01,785.0
2003-11-01,794.0
2003-12-01,991.0
2004-01-01,477.0
2004-02-01,745.0
2004-03-01,1111.0
2004-04-01,965.0
2004-05-01,1081.0
2004-06-01,872.0
2004-07-01,589.0
2004-08-01,993.0
2004-09-01,1087.0
2004-10-01,772.0
2004-11-01,481.0
2004-12-01,730.0
2005-01-01,290.0
2005-02-01,423.0
2005-03-01,488.0
2005-04-01,542.0
2005-05-01,550.0
2005-06-01,536.0
2005-07-01,470.0
2005-08-01,999.0
2005-09-01,786.0
2005-10-01,629.0
2005-11-01,738.0
2005-12-01,658.0
2006-01-01,324.0
2006-02-01,641.0
2006-03-01,743.0
2006-04-01,751.0
2006-05-01,682.0
2006-06-01,863.0
2006-07-01,674.0
2006-08-01,801.0
2006-09-01,802.0
2006-10-01,493.0
2006-11-01,894.0
2006-12-01,595.0
2007-01-01,335.0
2007-02-01,528.0
2007-03-01,549.0
2007-04-01,395.0
2007-05-01,502.0
2007-06-01,634.0
2007-07-01,502.0
2007-08-01,1101.0
2007-09-01,1254.0
2007-10-01,971.0
2007-11-01,1099.0
2007-12-01,1435.0
2008-01-01,871.0
2008-02-01,1068.0
2008-03-01,948.0
2008-04-01,970.0
2008-05-01,1055.0
2008-06-01,1125.0
2008-07-01,769.0
2008-08-01,730.0
2008-09-01,826.0
2008-10-01,858.0
2008-11-01,637.0
2008-12-01,767.0
2009-01-01,156.0
2009-02-01,53.0
2009-03-01,225.0
2009-04-01,90.0
2009-05-01,95.0
2009-06-01,189.0
2009-07-01,304.0
2009-08-01,275.0
2009-09-01,125.0
2009-10-01,366.0
2009-11-01,249.0
2009-12-01,497.0
2010-01-01,49.0
