Tarih,TP_UR_S10
2000-01-01,927.0
2000-02-01,1584.0
2000-03-01,2133.0
2000-04-01,2476.0
2000-05-01,2743.0
2000-06-01,2776.0
2000-07-01,1852.0
2000-08-01,2784.0
2000-09-01,3003.0
2000-10-01,3148.0
2000-11-01,3153.0
2000-12-01,1535.0
2001-01-01,620.0
2001-02-01,827.0
2001-03-01,459.0
2001-04-01,684.0
2001-05-01,557.0
2001-06-01,583.0
2001-07-01,312.0
2001-08-01,526.0
2001-09-01,626.0
2001-10-01,606.0
2001-11-01,602.0
2001-12-01,281.0
2002-01-01,386.0
2002-02-01,603.0
2002-03-01,890.0
2002-04-01,966.0
2002-05-01,1008.0
2002-06-01,1510.0
2002-07-01,795.0
2002-08-01,1241.0
2002-09-01,1012.0
2002-10-01,1030.0
2002-11-01,1144.0
2002-12-01,1710.0
2003-01-01,674.0
2003-02-01,703.0
2003-03-01,1266.0
2003-04-01,1238.0
2003-05-01,1466.0
2003-06-01,1406.0
2003-07-01,1509.0
2003-08-01,1464.0
2003-09-01,2088.0
2003-10-01,2637.0
2003-11-01,1986.0
2003-12-01,2604.0
2004-01-01,1770.0
2004-02-01,1989.0
2004-03-01,3065.0
2004-04-01,3037.0
2004-05-01,3718.0
2004-06-01,3501.0
2004-07-01,2439.0
2004-08-01,2219.0
2004-09-01,2649.0
2004-10-01,2197.0
2004-11-01,2147.0
2004-12-01,3043.0
2005-01-01,2086.0
2005-02-01,2832.0
2005-03-01,3180.0
2005-04-01,3620.0
2005-05-01,3315.0
2005-06-01,3239.0
2005-07-01,2141.0
2005-08-01,3515.0
2005-09-01,3467.0
2005-10-01,3200.0
2005-11-01,2936.0
2005-12-01,3696.0
2006-01-01,2294.0
2006-02-01,2894.0
2006-03-01,3645.0
2006-04-01,3791.0
2006-05-01,3900.0
2006-06-01,3792.0
2006-07-01,3175.0
2006-08-01,2684.0
2006-09-01,3025.0
2006-10-01,2463.0
2006-11-01,2873.0
2006-12-01,2490.0
2007-01-01,2392.0
2007-02-01,2417.0
2007-03-01,2899.0
2007-04-01,2946.0
2007-05-01,2936.0
2007-06-01,3075.0
2007-07-01,2488.0
2007-08-01,2746.0
2007-09-01,3187.0
2007-10-01,3176.0
2007-11-01,3486.0
2007-12-01,2796.0
2008-01-01,2405.0
2008-02-01,3065.0
2008-03-01,3258.0
2008-04-01,3358.0
2008-05-01,3274.0
2008-06-01,3148.0
2008-07-01,2857.0
2008-08-01,3423.0
2008-09-01,3388.0
