Tarih,TP_UR_S31
2000-01-01,1981.0
2000-02-01,1917.0
2000-03-01,2999.0
2000-04-01,3883.0
2000-05-01,4100.0
2000-06-01,3808.0
2000-07-01,3195.0
2000-08-01,3116.0
2000-09-01,4006.0
2000-10-01,3743.0
2000-11-01,3334.0
2000-12-01,1352.0
2001-01-01,1991.0
2001-02-01,1907.0
2001-03-01,1614.0
2001-04-01,1753.0
2001-05-01,1727.0
2001-06-01,1396.0
2001-07-01,1210.0
2001-08-01,1001.0
2001-09-01,833.0
2001-10-01,1010.0
2001-11-01,391.0
2001-12-01,219.0
2002-01-01,687.0
2002-02-01,679.0
2002-03-01,1086.0
2002-04-01,895.0
2002-05-01,652.0
2002-06-01,1256.0
2002-07-01,666.0
2002-08-01,669.0
2002-09-01,1375.0
2002-10-01,986.0
2002-11-01,736.0
2002-12-01,965.0
2003-01-01,1424.0
2003-02-01,1546.0
2003-03-01,2478.0
2003-04-01,2509.0
2003-05-01,2675.0
2003-06-01,2588.0
2003-07-01,2622.0
2003-08-01,2462.0
2003-09-01,2950.0
2003-10-01,2933.0
2003-11-01,2464.0
2003-12-01,2143.0
2004-01-01,3045.0
2004-02-01,2845.0
2004-03-01,3899.0
2004-04-01,4049.0
2004-05-01,4183.0
2004-06-01,4145.0
2004-07-01,3743.0
2004-08-01,1952.0
2004-09-01,3767.0
2004-10-01,2759.0
2004-11-01,2430.0
2004-12-01,1810.0
2005-01-01,2135.0
2005-02-01,2735.0
2005-03-01,3156.0
2005-04-01,2823.0
2005-05-01,2886.0
2005-06-01,3544.0
2005-07-01,2887.0
2005-08-01,2945.0
2005-09-01,3408.0
2005-10-01,3037.0
2005-11-01,2612.0
2005-12-01,2739.0
2006-01-01,2302.0
2006-02-01,3297.0
2006-03-01,3810.0
2006-04-01,3428.0
2006-05-01,4207.0
2006-06-01,3620.0
2006-07-01,2640.0
2006-08-01,2326.0
2006-09-01,3493.0
2006-10-01,2837.0
2006-11-01,3293.0
2006-12-01,2829.0
2007-01-01,2899.0
2007-02-01,2887.0
2007-03-01,3002.0
2007-04-01,2770.0
2007-05-01,3038.0
2007-06-01,2716.0
2007-07-01,2622.0
2007-08-01,2163.0
2007-09-01,2934.0
2007-10-01,2785.0
2007-11-01,3202.0
2007-12-01,2520.0
2008-01-01,2219.0
2008-02-01,2356.0
2008-03-01,2854.0
2008-04-01,2610.0
2008-05-01,2677.0
2008-06-01,2597.0
2008-07-01,2976.0
2008-08-01,783.0
2008-09-01,2048.0
2008-10-01,1161.0
2008-11-01,1690.0
2008-12-01,836.0
2009-01-01,988.0
2009-02-01,1322.0
2009-03-01,955.0
2009-04-01,963.0
2009-05-01,1041.0
2009-06-01,1435.0
2009-07-01,1610.0
2009-08-01,843.0
2009-09-01,1111.0
2009-10-01,1511.0
2009-11-01,1463.0
2009-12-01,1619.0
2010-01-01,1793.0
2010-02-01,1943.0
2010-03-01,2416.0
2010-04-01,2441.0
2010-05-01,2793.0
2010-06-01,2813.0
2010-07-01,3266.0
2010-08-01,1029.0
2010-09-01,2808.0
2010-10-01,3271.0
2010-11-01,2972.0
2010-12-01,2880.0
2011-01-01,2784.0
2011-02-01,3181.0
2011-03-01,3567.0
2011-04-01,4583.0
2011-05-01,4490.0
2011-06-01,4657.0
2011-07-01,4313.0
2011-08-01,2035.0
2011-09-01,3918.0
2011-10-01,4137.0
2011-11-01,4085.0
2011-12-01,3756.0
2012-01-01,3767.0
2012-02-01,4431.0
2012-03-01,4774.0
2012-04-01,4434.0
2012-05-01,4483.0
2012-06-01,4654.0
2012-07-01,4358.0
2012-08-01,693.0
2012-09-01,3101.0
2012-10-01,2691.0
2012-11-01,3265.0
2012-12-01,1604.0
2013-01-01,3010.0
2013-02-01,3030.0
2013-03-01,3316.0
2013-04-01,3526.0
2013-05-01,3393.0
2013-06-01,4001.0
2013-07-01,3756.0
2013-08-01,1903.0
2013-09-01,4391.0
2013-10-01,3125.0
2013-11-01,4185.0
2013-12-01,2873.0
2014-01-01,3402.0
2014-02-01,3694.0
2014-03-01,4456.0
2014-04-01,4548.0
2014-05-01,4150.0
2014-06-01,4426.0
2014-07-01,4003.0
2014-08-01,2932.0
2014-09-01,5038.0
2014-10-01,4103.0
2014-11-01,4324.0
2014-12-01,3327.0
2015-01-01,3604.0
2015-02-01,4367.0
2015-03-01,4641.0
2015-04-01,4119.0
2015-05-01,3228.0
2015-06-01,4356.0
2015-07-01,5197.0
2015-08-01,4739.0
2015-09-01,4589.0
2015-10-01,4711.0
2015-11-01,4276.0
2015-12-01,3411.0
2016-01-01,4027.0
2016-02-01,4680.0
2016-03-01,5318.0
2016-04-01,5219.0
2016-05-01,5402.0
2016-06-01,5333.0
2016-07-01,4041.0
2016-08-01,1581.0
2016-09-01,3543.0
2016-10-01,3083.0
2016-11-01,4319.0
2016-12-01,3480.0
2017-01-01,3620.0
2017-02-01,3868.0
2017-03-01,4806.0
2017-04-01,4062.0
2017-05-01,4216.0
2017-06-01,4523.0
2017-07-01,4876.0
2017-08-01,3853.0
2017-09-01,4910.0
2017-10-01,5182.0
2017-11-01,5280.0
2017-12-01,4645.0
2018-01-01,4564.0
2018-02-01,4508.0
2018-03-01,5122.0
2018-04-01,4188.0
2018-05-01,4229.0
2018-06-01,3238.0
2018-07-01,3419.0
2018-08-01,1563.0
2018-09-01,1845.0
2018-10-01,1768.0
2018-11-01,1802.0
2018-12-01,1440.0
2019-01-01,1061.0
2019-02-01,1635.0
2019-03-01,2048.0
2019-04-01,2192.0
2019-05-01,2046.0
2019-06-01,1588.0
2019-07-01,2042.0
2019-08-01,1198.0
2019-09-01,2668.0
2019-10-01,2656.0
2019-11-01,2768.0
2019-12-01,1997.0
2020-01-01,2515.0
2020-02-01,2750.0
2020-03-01,2188.0
2020-04-01,997.0
2020-05-01,1900.0
2020-06-01,3172.0
2020-07-01,3313.0
2020-08-01,2968.0
2020-09-01,4133.0
2020-10-01,4575.0
2020-11-01,4609.0
2020-12-01,4983.0
2021-01-01,4414.0
2021-02-01,4900.0
2021-03-01,5761.0
2021-04-01,4597.0
2021-05-01,4400.0
2021-06-01,5676.0
2021-07-01,3502.0
2021-08-01,3041.0
2021-09-01,4919.0
2021-10-01,4610.0
2021-11-01,5056.0
2021-12-01,4627.0
2022-01-01,3594.0
2022-02-01,4314.0
2022-03-01,4768.0
2022-04-01,4038.0
2022-05-01,3486.0
2022-06-01,4480.0
2022-07-01,2630.0
2022-08-01,2812.0
2022-09-01,4786.0
2022-10-01,4810.0
2022-11-01,5221.0
2022-12-01,4602.0
2023-01-01,4893.0
2023-02-01,5042.0
2023-03-01,5972.0
2023-04-01,4690.0
2023-05-01,5143.0
2023-06-01,4311.0
2023-07-01,5015.0
2023-08-01,3222.0
2023-09-01,5177.0
2023-10-01,4944.0
2023-11-01,4816.0
2023-12-01,4345.0
2024-01-01,4254.0
2024-02-01,4771.0
2024-03-01,4830.0
2024-04-01,3669.0
2024-05-01,5020.0
2024-06-01,3948.0
2024-07-01,3576.0
2024-08-01,2072.0
2024-09-01,3769.0
2024-10-01,3702.0
2024-11-01,3445.0
2024-12-01,2582.0
2025-01-01,2624.0
2025-02-01,2733.0
2025-03-01,2822.0
2025-04-01,2743.0
2025-05-01,2821.0
2025-06-01,2144.0
2025-07-01,2651.0
2025-08-01,1305.0
2025-09-01,1880.0
