Tarih,TP_UR_S14
2000-01-01,218.0
2000-02-01,266.0
2000-03-01,260.0
2000-04-01,371.0
2000-05-01,379.0
2000-06-01,379.0
2000-07-01,372.0
2000-08-01,361.0
2000-09-01,366.0
2000-10-01,448.0
2000-11-01,487.0
2000-12-01,306.0
2001-01-01,323.0
2001-02-01,327.0
2001-03-01,312.0
2001-04-01,277.0
2001-05-01,191.0
2001-06-01,60.0
2001-07-01,142.0
2001-08-01,152.0
2001-09-01,123.0
2001-10-01,157.0
2001-11-01,243.0
2001-12-01,194.0
2002-01-01,157.0
2002-02-01,149.0
2002-03-01,282.0
2002-04-01,231.0
2002-05-01,259.0
2002-06-01,183.0
2002-07-01,227.0
2002-08-01,230.0
2002-09-01,175.0
2002-10-01,282.0
2002-11-01,279.0
2002-12-01,230.0
2003-01-01,209.0
2003-02-01,200.0
2003-03-01,260.0
2003-04-01,296.0
2003-05-01,341.0
2003-06-01,472.0
2003-07-01,379.0
2003-08-01,354.0
2003-09-01,440.0
2003-10-01,401.0
2003-11-01,378.0
2003-12-01,442.0
2004-01-01,381.0
2004-02-01,351.0
2004-03-01,514.0
2004-04-01,478.0
2004-05-01,443.0
2004-06-01,497.0
2004-07-01,418.0
2004-08-01,294.0
2004-09-01,397.0
2004-10-01,317.0
2004-11-01,332.0
2004-12-01,417.0
2005-01-01,260.0
2005-02-01,340.0
2005-03-01,486.0
2005-04-01,551.0
2005-05-01,528.0
2005-06-01,438.0
2005-07-01,444.0
2005-08-01,412.0
2005-09-01,454.0
2005-10-01,466.0
2005-11-01,456.0
2005-12-01,571.0
2006-01-01,263.0
2006-02-01,422.0
2006-03-01,581.0
2006-04-01,626.0
2006-05-01,655.0
2006-06-01,628.0
2006-07-01,446.0
2006-08-01,437.0
2006-09-01,506.0
2006-10-01,435.0
2006-11-01,485.0
2006-12-01,535.0
2007-01-01,409.0
2007-02-01,537.0
2007-03-01,655.0
2007-04-01,564.0
2007-05-01,624.0
2007-06-01,600.0
2007-07-01,605.0
2007-08-01,568.0
2007-09-01,576.0
2007-10-01,521.0
2007-11-01,604.0
2007-12-01,682.0
2008-01-01,556.0
2008-02-01,579.0
2008-03-01,713.0
2008-04-01,621.0
2008-05-01,812.0
2008-06-01,666.0
2008-07-01,610.0
2008-08-01,530.0
2008-09-01,558.0
2008-10-01,615.0
2008-11-01,687.0
2008-12-01,615.0
2009-01-01,554.0
2009-02-01,491.0
2009-03-01,525.0
2009-04-01,485.0
2009-05-01,464.0
2009-06-01,436.0
2009-07-01,611.0
2009-08-01,598.0
2009-09-01,423.0
2009-10-01,437.0
2009-11-01,430.0
2009-12-01,477.0
2010-01-01,262.0
2010-02-01,416.0
2010-03-01,441.0
2010-04-01,491.0
2010-05-01,441.0
2010-06-01,458.0
2010-07-01,403.0
2010-08-01,467.0
2010-09-01,470.0
2010-10-01,421.0
2010-11-01,417.0
2010-12-01,581.0
2011-01-01,337.0
2011-02-01,448.0
2011-03-01,632.0
2011-04-01,631.0
2011-05-01,691.0
2011-06-01,652.0
2011-07-01,526.0
2011-08-01,822.0
2011-09-01,473.0
2011-10-01,581.0
2011-11-01,563.0
2011-12-01,551.0
2012-01-01,390.0
2012-02-01,522.0
2012-03-01,619.0
2012-04-01,641.0
2012-05-01,628.0
2012-06-01,535.0
2012-07-01,598.0
2012-08-01,493.0
2012-09-01,515.0
2012-10-01,478.0
2012-11-01,511.0
2012-12-01,497.0
2013-01-01,785.0
2013-02-01,674.0
2013-03-01,877.0
2013-04-01,688.0
2013-05-01,793.0
2013-06-01,879.0
2013-07-01,787.0
2013-08-01,500.0
2013-09-01,734.0
2013-10-01,538.0
2013-11-01,574.0
2013-12-01,516.0
2014-01-01,485.0
2014-02-01,588.0
2014-03-01,654.0
2014-04-01,542.0
2014-05-01,561.0
2014-06-01,534.0
2014-07-01,548.0
2014-08-01,534.0
2014-09-01,446.0
2014-10-01,435.0
2014-11-01,582.0
2014-12-01,533.0
2015-01-01,635.0
2015-02-01,602.0
2015-03-01,753.0
2015-04-01,706.0
2015-05-01,757.0
2015-06-01,790.0
2015-07-01,598.0
2015-08-01,635.0
2015-09-01,644.0
2015-10-01,894.0
2015-11-01,854.0
2015-12-01,921.0
2016-01-01,589.0
2016-02-01,711.0
2016-03-01,788.0
2016-04-01,726.0
2016-05-01,797.0
2016-06-01,814.0
2016-07-01,540.0
2016-08-01,627.0
2016-09-01,620.0
2016-10-01,698.0
2016-11-01,679.0
2016-12-01,495.0
2017-01-01,783.0
2017-02-01,700.0
2017-03-01,818.0
2017-04-01,771.0
2017-05-01,799.0
2017-06-01,720.0
2017-07-01,698.0
2017-08-01,580.0
2017-09-01,559.0
2017-10-01,594.0
2017-11-01,589.0
2017-12-01,557.0
2018-01-01,619.0
2018-02-01,657.0
2018-03-01,833.0
2018-04-01,754.0
2018-05-01,834.0
2018-06-01,668.0
2018-07-01,696.0
2018-08-01,509.0
2018-09-01,631.0
2018-10-01,747.0
2018-11-01,816.0
2018-12-01,777.0
2019-01-01,762.0
2019-02-01,677.0
2019-03-01,812.0
2019-04-01,886.0
2019-05-01,902.0
2019-06-01,700.0
