Tarih,TP_TEDAVULADT_T20
2023-11-01,214004417.0
2023-12-01,214651689.0
2024-01-01,215740481.0
2024-02-01,218755219.0
2024-03-01,224829323.0
2024-04-01,232971033.0
2024-05-01,232495098.5
2024-06-01,243102708.5
2024-07-01,243094776.0
2024-08-01,246356692.0
2024-09-01,246887933.0
2024-10-01,246706404.5
2024-11-01,247330667.0
2024-12-01,247144619.0
2025-01-01,250607537.0
2025-02-01,254449920.5
2025-03-01,268327770.0
2025-04-01,269348587.0
2025-05-01,271380757.5
2025-06-01,277316602.0
2025-07-01,282762645.5
2025-08-01,290294457.0
2025-09-01,295089538.0
