Tarih,TP_TEDAVULADT_TTU
2014-08-01,1467084992.0
2014-09-01,1512910686.0
2014-10-01,1475977336.5
2014-11-01,1435452943.5
2014-12-01,1426591701.5
2015-01-01,1428379631.5
2015-02-01,1456950783.5
2015-03-01,1458137356.0
2015-04-01,1520247054.0
2015-05-01,1528963112.0
2015-06-01,1547948591.0
2015-07-01,1635146615.5
2015-08-01,1639519881.5
2015-09-01,1748341474.0
2015-10-01,1677979784.0
2015-11-01,1633777572.0
2015-12-01,1633691494.0
2016-01-01,1545679853.5
2016-02-01,1553057364.0
2016-03-01,1540045311.0
2016-04-01,1579972001.0
2016-05-01,1605167114.0
2016-06-01,1747914455.5
2016-07-01,1809571425.5
2016-08-01,1793923059.5
2016-09-01,1830982648.5
2016-10-01,1796865812.5
2016-11-01,1755742948.5
2016-12-01,1783270971.5
2017-01-01,1746008687.5
2017-02-01,1750707656.0
2017-03-01,1795187267.0
2017-04-01,1862962270.5
2017-05-01,1797936990.0
2017-06-01,1951103103.5
2017-07-01,1895419801.5
2017-08-01,2125134485.0
2017-09-01,1932809360.0
2017-10-01,1905125614.0
2017-11-01,1891520509.5
2017-12-01,1919991955.5
2018-01-01,1831858062.5
2018-02-01,1842378985.0
2018-03-01,1908530984.5
2018-04-01,1958717129.5
2018-05-01,1967873230.5
2018-06-01,2149192789.5
2018-07-01,2100560764.0
2018-08-01,2338613509.5
2018-09-01,2157497035.5
2018-10-01,2019005617.0
2018-11-01,1961369622.0
2018-12-01,1914266032.0
2019-01-01,1849968619.5
2019-02-01,1874470338.5
2019-03-01,1938040235.5
2019-04-01,1942407343.0
2019-05-01,2226545510.0
2019-06-01,2082400516.5
2019-07-01,2047485590.5
2019-08-01,2230533424.5
2019-09-01,2156131061.5
2019-10-01,2146127354.0
2019-11-01,2150934779.0
2019-12-01,2138936011.5
2020-01-01,2137250607.5
2020-02-01,2194007361.5
2020-03-01,2378859379.0
2020-04-01,2791079356.0
2020-05-01,2909549356.0
2020-06-01,2827787879.5
2020-07-01,3146745484.5
2020-08-01,2829876271.0
2020-09-01,2745925448.0
2020-10-01,2728393747.0
2020-11-01,2551629693.5
2020-12-01,2482547579.0
2021-01-01,2422057835.5
2021-02-01,2399192287.5
2021-03-01,2410495022.0
2021-04-01,2543668250.0
2021-05-01,2711626498.0
2021-06-01,2715165704.0
2021-07-01,2916312299.5
2021-08-01,2780838115.5
2021-09-01,2763307300.0
2021-10-01,2884041370.0
2021-11-01,2903931197.5
2021-12-01,2855047442.0
2022-01-01,2867574139.5
2022-02-01,2927427694.5
2022-03-01,2998295043.0
2022-04-01,3438979288.5
2022-05-01,3164108057.5
2022-06-01,3230064419.5
2022-07-01,3425958731.5
2022-08-01,3442460833.0
2022-09-01,3466570554.5
2022-10-01,3464069496.5
2022-11-01,3475157868.5
2022-12-01,3546548252.5
2023-01-01,3496204883.0
2023-02-01,3598024800.5
2023-03-01,3717595014.0
2023-04-01,4092622618.0
2023-05-01,3909428720.0
2023-06-01,4847175892.5
2023-07-01,4215954364.5
2023-08-01,4200902345.5
2023-09-01,4258781403.5
2023-10-01,4169400353.5
2023-11-01,4185634461.0
2023-12-01,4166859408.5
2024-01-01,4066711473.5
2024-02-01,4254030320.0
2024-03-01,4459525120.5
2024-04-01,4604581875.5
2024-05-01,4812877226.0
2024-06-01,5106940532.5
2024-07-01,5090434339.5
2024-08-01,5313156227.5
2024-09-01,5280711096.5
2024-10-01,5298228390.5
2024-11-01,5217552242.0
2024-12-01,5140151080.5
2025-01-01,5210561316.5
2025-02-01,5411367157.0
2025-03-01,6265532391.5
2025-04-01,5846811435.0
2025-05-01,6150232666.5
2025-06-01,6015756713.0
2025-07-01,6060921604.0
2025-08-01,6253308307.5
2025-09-01,6295600003.0
