Tarih,TP_TEDAVULADT_T50
2014-12-01,251112908.5
2015-01-01,245831376.5
2015-02-01,249934429.0
2015-03-01,248130158.0
2015-04-01,261451979.0
2015-05-01,262790790.5
2015-06-01,266044276.5
2015-07-01,282484940.0
2015-08-01,283579926.5
2015-09-01,306670378.0
2015-10-01,290514692.0
2015-11-01,279739984.0
2015-12-01,279555084.0
2016-01-01,276305391.0
2016-02-01,275640070.5
2016-03-01,272687651.0
2016-04-01,282849754.0
2016-05-01,285082400.0
2016-06-01,316201296.0
2016-07-01,328159931.5
2016-08-01,325219786.0
2016-09-01,331677893.5
2016-10-01,323480886.0
2016-11-01,310350393.5
2016-12-01,316753689.5
2017-01-01,304341303.0
2017-02-01,306685139.5
2017-03-01,316604209.5
2017-04-01,333776689.5
2017-05-01,314713426.5
2017-06-01,345839075.0
2017-07-01,333988683.5
2017-08-01,390532247.5
2017-09-01,341097576.0
2017-10-01,332151860.5
2017-11-01,327807897.0
2017-12-01,336294830.0
2018-01-01,314097282.5
2018-02-01,316591179.5
2018-03-01,329801107.5
2018-04-01,340562024.5
2018-05-01,335726288.0
2018-06-01,371216000.5
2018-07-01,356931458.0
2018-08-01,409229283.0
2018-09-01,368019981.5
2018-10-01,335719389.5
2018-11-01,326141367.5
2018-12-01,315531965.5
2019-01-01,303501241.0
2019-02-01,310013905.0
2019-03-01,326739307.5
2019-04-01,322596871.5
2019-05-01,384587124.0
2019-06-01,346633438.5
2019-07-01,337721213.0
2019-08-01,378992839.0
2019-09-01,361231242.0
2019-10-01,356246698.5
2019-11-01,356079364.5
2019-12-01,347456729.0
2020-01-01,349685785.5
2020-02-01,360833894.5
2020-03-01,399844437.5
2020-04-01,484925843.5
2020-05-01,499241219.0
2020-06-01,469592561.5
2020-07-01,539127369.5
2020-08-01,469995791.0
2020-09-01,449620609.5
2020-10-01,442375102.5
2020-11-01,410350928.0
2020-12-01,394821586.0
2021-01-01,382274202.5
2021-02-01,379166205.5
2021-03-01,369256946.0
2021-04-01,390829142.0
2021-05-01,415125234.0
2021-06-01,408057289.5
2021-07-01,455955612.0
2021-08-01,428223701.5
2021-09-01,415666909.0
2021-10-01,427323217.5
2021-11-01,411428577.5
2021-12-01,407426181.5
2022-01-01,408287308.5
2022-02-01,416280696.0
2022-03-01,414462949.0
2022-04-01,492098002.0
2022-05-01,433696785.0
2022-06-01,430303613.5
2022-07-01,462798069.5
2022-08-01,450563194.0
2022-09-01,447920533.0
2022-10-01,437782669.0
2022-11-01,418189024.5
2022-12-01,409561726.0
2023-01-01,395196490.0
2023-02-01,399575876.5
2023-03-01,399085417.0
2023-04-01,455810337.5
2023-05-01,426660640.5
2023-06-01,514377576.0
2023-07-01,435051115.0
2023-08-01,424062691.5
2023-09-01,419824093.0
2023-10-01,401250863.0
2023-11-01,395702364.5
2023-12-01,385099635.5
2024-01-01,374598495.0
2024-02-01,386933535.0
2024-03-01,399856319.5
2024-04-01,404832668.5
2024-05-01,387872621.0
2024-06-01,411496980.0
2024-07-01,384865327.0
2024-08-01,387550039.5
2024-09-01,366304778.0
2024-10-01,352339611.0
2024-11-01,340559145.5
2024-12-01,320128789.5
2025-01-01,308969124.0
2025-02-01,306099902.0
2025-03-01,334293962.5
2025-04-01,307204197.0
2025-05-01,296951771.0
2025-06-01,288747136.0
2025-07-01,275067615.5
2025-08-01,271937203.0
2025-09-01,265728577.0
