Tarih,TP_KB_FON004
2023-09-01,32999540.0
2023-10-01,35772226.0
2023-11-01,41886365.0
2023-12-01,43860153.0
2024-01-01,52335068.0
2024-02-01,46909307.0
2024-03-01,42704606.0
2024-04-01,39527685.0
2024-05-01,38866662.0
2024-06-01,34786083.0
2024-07-01,35772388.0
2024-08-01,25441242.0
2024-09-01,29330868.0
2024-10-01,30265505.0
2024-11-01,16056748.0
2024-12-01,19886939.0
2025-01-01,19753918.0
2025-02-01,20079151.0
2025-03-01,25562531.0
2025-04-01,19793450.0
2025-05-01,25315133.0
2025-06-01,25190513.0
2025-07-01,23068930.0
2025-08-01,24783587.0
