Tarih,TP_KB_FON024
2024-02-01,674651.0
2024-03-01,830558.0
2024-04-01,430777.0
2024-05-01,209323.0
2024-06-01,252801.0
2024-07-01,271330.0
2024-08-01,259249.0
2024-09-01,244644.0
2024-10-01,319212.0
2024-11-01,204267.0
2024-12-01,518021.0
2025-01-01,255662.0
2025-02-01,390167.0
2025-03-01,773127.0
2025-04-01,731602.0
2025-05-01,779742.0
2025-06-01,1135375.0
2025-07-01,1044584.0
2025-08-01,1059166.0
