Tarih,TP_KB_FON070
2020-12-01,5249966.0
2021-01-01,5584909.0
2021-02-01,5423584.0
2021-03-01,5328637.0
2021-04-01,5140347.0
2021-05-01,5049104.0
2021-06-01,4056436.0
2021-07-01,5565333.0
2021-08-01,5553384.0
2021-09-01,6390575.0
2021-10-01,5755652.0
2021-11-01,4707473.0
2021-12-01,6778626.0
2022-01-01,6350036.0
2022-02-01,6637953.0
2022-03-01,4872742.0
2022-04-01,6528268.0
2022-05-01,11473873.0
2022-06-01,11904376.0
2022-07-01,13940623.0
2022-08-01,18428973.0
2022-09-01,19779423.0
2022-10-01,21683098.0
2022-11-01,22742390.0
2022-12-01,25277754.0
2023-01-01,27302628.0
2023-02-01,31968561.0
2023-03-01,33109687.0
2023-04-01,36789588.0
2023-05-01,34645068.0
2023-06-01,47363974.0
2023-07-01,51364976.0
2023-08-01,66580874.0
2023-09-01,67354808.0
2023-10-01,19518135.0
2023-11-01,69096306.0
2023-12-01,64140240.0
2024-01-01,57656651.0
2024-02-01,75635456.0
2024-03-01,78455908.0
2024-04-01,79607896.0
2024-05-01,93194600.0
2024-06-01,97385043.0
2024-07-01,93219235.0
2024-08-01,74157359.0
2024-09-01,100586848.0
2024-10-01,106597341.0
2024-11-01,114773298.0
2024-12-01,132705298.0
2025-01-01,135068737.0
2025-02-01,139654145.0
2025-03-01,156542178.0
2025-04-01,186419260.0
2025-05-01,219145586.0
2025-06-01,238086820.0
2025-07-01,249311893.0
2025-08-01,263920165.0
