Tarih,TP_KB_FON055
2020-12-01,3407171.0
2021-01-01,3112741.0
2021-02-01,4164933.0
2021-03-01,4827046.0
2021-04-01,4929631.0
2021-05-01,4487430.0
2021-06-01,4864151.0
2021-07-01,5122036.0
2021-08-01,5303832.0
2021-09-01,5880642.0
2021-10-01,6656774.0
2021-11-01,9773408.0
2021-12-01,10271954.0
2022-01-01,11052117.0
2022-02-01,12836611.0
2022-03-01,13610983.0
2022-04-01,14634081.0
2022-05-01,15674988.0
2022-06-01,18787775.0
2022-07-01,21646990.0
2022-08-01,25197099.0
2022-09-01,33966438.0
2022-10-01,40845055.0
2022-11-01,46628479.0
2022-12-01,40111801.0
2023-01-01,51818368.0
2023-02-01,48874189.0
2023-03-01,44428967.0
2023-04-01,40876097.0
2023-05-01,40548833.0
2023-06-01,48559694.0
2023-07-01,56070078.0
2023-08-01,57040991.0
2023-09-01,58968017.0
2023-10-01,67063063.0
2023-11-01,67435021.0
2023-12-01,69507594.0
2024-01-01,68447915.0
2024-02-01,64644812.0
2024-03-01,61496657.0
2024-04-01,59626583.0
2024-05-01,58491816.0
2024-06-01,65602109.0
2024-07-01,63181297.0
2024-08-01,64411997.0
2024-09-01,60042415.0
2024-10-01,57288313.0
2024-11-01,49883843.0
2024-12-01,56149666.0
2025-01-01,59956487.0
2025-02-01,52135179.0
2025-03-01,58575699.0
2025-04-01,58148117.0
2025-05-01,59616297.0
2025-06-01,66466765.0
2025-07-01,63566546.0
2025-08-01,57904723.0
