Tarih,TP_KB_FON073
2024-05-01,64987483.0
2024-06-01,67577111.0
2024-07-01,67854137.0
2024-08-01,47805413.0
2024-09-01,72772330.0
2024-10-01,82834791.0
2024-11-01,93461363.0
2024-12-01,101564749.0
2025-01-01,110103154.0
2025-02-01,113957311.0
2025-03-01,128936211.0
2025-04-01,155455213.0
2025-05-01,185649013.0
2025-06-01,204376688.0
2025-07-01,216891313.0
2025-08-01,234661237.0
