Tarih,TP_BISBORCORAN_QZA
2000-01-01,10.2
2000-04-01,9.7
2000-07-01,9.7
2000-10-01,9.4
2001-01-01,9.2
2001-04-01,9.0
2001-07-01,9.1
2001-10-01,9.3
2002-01-01,8.8
2002-04-01,8.8
2002-07-01,8.8
2002-10-01,8.6
2003-01-01,9.3
2003-04-01,9.3
2003-07-01,9.3
2003-10-01,9.1
2004-01-01,8.5
2004-04-01,8.1
2004-07-01,8.1
2004-10-01,8.2
2005-01-01,8.1
2005-04-01,8.2
2005-07-01,8.2
2005-10-01,8.3
2006-01-01,8.6
2006-04-01,8.7
2006-07-01,9.2
2006-10-01,9.5
2007-01-01,9.7
2007-04-01,10.0
2007-07-01,10.3
2007-10-01,10.6
2008-01-01,11.2
2008-04-01,11.3
2008-07-01,11.5
2008-10-01,11.5
2009-01-01,11.5
2009-04-01,10.9
2009-07-01,10.5
2009-10-01,10.3
2010-01-01,10.0
2010-04-01,9.8
2010-07-01,9.6
2010-10-01,9.2
2011-01-01,8.9
2011-04-01,8.6
2011-07-01,8.4
2011-10-01,8.3
2012-01-01,8.3
2012-04-01,8.3
2012-07-01,8.3
2012-10-01,8.3
2013-01-01,8.3
2013-04-01,8.3
2013-07-01,8.3
2013-10-01,8.2
2014-01-01,8.3
2014-04-01,8.4
2014-07-01,8.5
2014-10-01,8.4
2015-01-01,8.5
2015-04-01,8.5
2015-07-01,8.6
2015-10-01,8.9
2016-01-01,9.1
2016-04-01,9.0
2016-07-01,9.1
2016-10-01,9.1
2017-01-01,9.2
2017-04-01,9.1
2017-07-01,9.2
2017-10-01,9.1
2018-01-01,9.2
2018-04-01,9.1
2018-07-01,9.2
2018-10-01,9.1
2019-01-01,9.4
2019-04-01,9.2
2019-07-01,9.3
2019-10-01,9.1
2020-01-01,9.3
2020-04-01,9.1
2020-07-01,8.7
2020-10-01,8.3
2021-01-01,8.1
2021-04-01,7.4
2021-07-01,7.3
2021-10-01,7.0
2022-01-01,7.0
2022-04-01,7.0
2022-07-01,7.2
2022-10-01,7.4
2023-01-01,7.6
2023-04-01,7.7
2023-07-01,8.0
2023-10-01,8.1
2024-01-01,8.4
2024-04-01,8.4
2024-07-01,8.5
2024-10-01,8.4
2025-01-01,8.5
