Tarih,TP_BISBORCORAN_QTH
2000-01-01,22.7
2000-04-01,20.8
2000-07-01,18.6
2000-10-01,17.7
2001-01-01,17.1
2001-04-01,15.7
2001-07-01,15.4
2001-10-01,14.7
2002-01-01,15.1
2002-04-01,14.6
2002-07-01,14.4
2002-10-01,14.0
2003-01-01,13.7
2003-04-01,13.5
2003-07-01,13.0
2003-10-01,12.4
2004-01-01,12.5
2004-04-01,12.4
2004-07-01,12.8
2004-10-01,12.6
2005-01-01,12.6
2005-04-01,12.8
2005-07-01,13.0
2005-10-01,13.3
2006-01-01,13.4
2006-04-01,13.6
2006-07-01,13.8
2006-10-01,13.9
2007-01-01,13.7
2007-04-01,13.5
2007-07-01,13.3
2007-10-01,13.1
2008-01-01,13.0
2008-04-01,13.0
2008-07-01,13.1
2008-10-01,13.4
2009-01-01,13.1
2009-04-01,13.0
2009-07-01,12.9
2009-10-01,12.5
2010-01-01,11.9
2010-04-01,11.7
2010-07-01,11.5
2010-10-01,11.8
2011-01-01,12.0
2011-04-01,12.4
2011-07-01,12.7
2011-10-01,13.4
2012-01-01,13.7
2012-04-01,13.9
2012-07-01,14.2
2012-10-01,14.0
2013-01-01,14.0
2013-04-01,14.2
2013-07-01,14.2
2013-10-01,14.4
2014-01-01,14.4
2014-04-01,14.4
2014-07-01,14.4
2014-10-01,14.5
2015-01-01,14.4
2015-04-01,14.4
2015-07-01,14.4
2015-10-01,14.4
2016-01-01,14.5
2016-04-01,14.4
2016-07-01,14.1
2016-10-01,13.9
2017-01-01,13.7
2017-04-01,13.7
2017-07-01,13.5
2017-10-01,13.5
2018-01-01,13.4
2018-04-01,13.4
2018-07-01,13.4
2018-10-01,13.5
2019-01-01,13.5
2019-04-01,13.6
2019-07-01,13.5
2019-10-01,13.6
2020-01-01,13.8
2020-04-01,14.3
2020-07-01,14.5
2020-10-01,14.9
2021-01-01,15.0
2021-04-01,14.7
2021-07-01,14.9
2021-10-01,14.8
2022-01-01,14.7
2022-04-01,14.6
2022-07-01,14.5
2022-10-01,14.5
2023-01-01,14.5
2023-04-01,14.8
2023-07-01,15.0
2023-10-01,15.3
2024-01-01,15.4
2024-04-01,15.4
2024-07-01,15.3
2024-10-01,15.2
2025-01-01,15.1
