Tarih,TP_BISBORCORAN_QJP
2000-01-01,19.6
2000-04-01,19.2
2000-07-01,19.1
2000-10-01,19.0
2001-01-01,18.8
2001-04-01,18.7
2001-07-01,18.7
2001-10-01,18.9
2002-01-01,18.7
2002-04-01,18.4
2002-07-01,18.1
2002-10-01,18.0
2003-01-01,17.7
2003-04-01,17.4
2003-07-01,17.2
2003-10-01,17.1
2004-01-01,16.7
2004-04-01,16.3
2004-07-01,16.0
2004-10-01,16.0
2005-01-01,16.0
2005-04-01,15.8
2005-07-01,15.9
2005-10-01,15.9
2006-01-01,15.8
2006-04-01,15.6
2006-07-01,15.7
2006-10-01,15.7
2007-01-01,15.6
2007-04-01,15.4
2007-07-01,15.4
2007-10-01,15.5
2008-01-01,15.3
2008-04-01,15.4
2008-07-01,15.4
2008-10-01,15.7
2009-01-01,15.7
2009-04-01,15.7
2009-07-01,15.7
2009-10-01,15.6
2010-01-01,15.2
2010-04-01,15.0
2010-07-01,14.8
2010-10-01,14.6
2011-01-01,14.5
2011-04-01,14.5
2011-07-01,14.6
2011-10-01,14.6
2012-01-01,14.5
2012-04-01,14.3
2012-07-01,14.3
2012-10-01,14.4
2013-01-01,14.3
2013-04-01,14.1
2013-07-01,14.1
2013-10-01,14.2
2014-01-01,14.2
2014-04-01,14.1
2014-07-01,14.2
2014-10-01,14.3
2015-01-01,14.2
2015-04-01,13.9
2015-07-01,13.8
2015-10-01,13.7
2016-01-01,13.6
2016-04-01,13.6
2016-07-01,13.7
2016-10-01,13.9
2017-01-01,13.9
2017-04-01,13.9
2017-07-01,13.8
2017-10-01,13.9
2018-01-01,13.9
2018-04-01,13.9
2018-07-01,14.1
2018-10-01,14.2
2019-01-01,14.3
2019-04-01,14.4
2019-07-01,14.5
2019-10-01,14.7
2020-01-01,14.8
2020-04-01,15.3
2020-07-01,15.4
2020-10-01,15.5
2021-01-01,15.5
2021-04-01,15.6
2021-07-01,15.6
2021-10-01,15.8
2022-01-01,15.7
2022-04-01,15.9
2022-07-01,15.9
2022-10-01,16.0
2023-01-01,16.0
2023-04-01,16.0
2023-07-01,16.1
2023-10-01,16.1
2024-01-01,16.1
2024-04-01,16.1
2024-07-01,16.0
2024-10-01,16.1
2025-01-01,16.0
