Tarih,TP_BISBORCORAN_QBR
2000-01-01,19.2
2000-04-01,18.8
2000-07-01,17.5
2000-10-01,17.5
2001-01-01,17.3
2001-04-01,18.3
2001-07-01,22.6
2001-10-01,22.6
2002-01-01,21.9
2002-04-01,21.5
2002-07-01,25.5
2002-10-01,27.4
2003-01-01,29.0
2003-04-01,27.0
2003-07-01,23.5
2003-10-01,20.5
2004-01-01,18.4
2004-04-01,17.9
2004-07-01,17.4
2004-10-01,16.8
2005-01-01,17.5
2005-04-01,17.8
2005-07-01,17.8
2005-10-01,17.7
2006-01-01,17.4
2006-04-01,16.8
2006-07-01,16.0
2006-10-01,15.9
2007-01-01,14.6
2007-04-01,13.2
2007-07-01,12.5
2007-10-01,11.9
2008-01-01,13.8
2008-04-01,14.3
2008-07-01,16.7
2008-10-01,20.0
2009-01-01,17.9
2009-04-01,16.0
2009-07-01,14.9
2009-10-01,14.6
2010-01-01,13.7
2010-04-01,13.3
2010-07-01,13.8
2010-10-01,14.0
2011-01-01,15.9
2011-04-01,16.7
2011-07-01,16.6
2011-10-01,16.8
2012-01-01,16.8
2012-04-01,16.0
2012-07-01,15.0
2012-10-01,14.6
2013-01-01,14.4
2013-04-01,14.8
2013-07-01,15.2
2013-10-01,16.0
2014-01-01,16.5
2014-04-01,16.7
2014-07-01,17.2
2014-10-01,17.9
2015-01-01,19.6
2015-04-01,20.5
2015-07-01,23.2
2015-10-01,24.1
2016-01-01,24.4
2016-04-01,23.9
2016-07-01,24.0
2016-10-01,23.7
2017-01-01,22.8
2017-04-01,20.8
2017-07-01,19.8
2017-10-01,19.2
2018-01-01,18.5
2018-04-01,18.1
2018-07-01,17.8
2018-10-01,18.0
2019-01-01,18.6
2019-04-01,18.8
2019-07-01,18.8
2019-10-01,18.2
2020-01-01,19.1
2020-04-01,17.8
2020-07-01,16.8
2020-10-01,16.6
2021-01-01,17.8
2021-04-01,17.0
2021-07-01,18.0
2021-10-01,20.4
2022-01-01,21.4
2022-04-01,23.3
2022-07-01,24.6
2022-10-01,25.5
2023-01-01,25.8
2023-04-01,25.8
2023-07-01,25.2
2023-10-01,24.4
2024-01-01,24.1
2024-04-01,24.6
2024-07-01,24.6
2024-10-01,26.3
2025-01-01,27.7
