Tarih,TP_BISBORCORAN_QDK
2000-01-01,20.7
2000-04-01,20.7
2000-07-01,21.2
2000-10-01,23.2
2001-01-01,22.0
2001-04-01,22.5
2001-07-01,22.4
2001-10-01,23.9
2002-01-01,22.4
2002-04-01,22.0
2002-07-01,22.1
2002-10-01,23.0
2003-01-01,22.0
2003-04-01,22.0
2003-07-01,21.9
2003-10-01,22.9
2004-01-01,21.7
2004-04-01,21.5
2004-07-01,22.3
2004-10-01,24.3
2005-01-01,23.1
2005-04-01,23.9
2005-07-01,24.7
2005-10-01,24.9
2006-01-01,25.4
2006-04-01,24.8
2006-07-01,24.8
2006-10-01,25.6
2007-01-01,26.4
2007-04-01,28.8
2007-07-01,29.4
2007-10-01,30.2
2008-01-01,30.7
2008-04-01,31.1
2008-07-01,31.0
2008-10-01,31.2
2009-01-01,30.7
2009-04-01,31.8
2009-07-01,32.5
2009-10-01,31.8
2010-01-01,32.1
2010-04-01,31.7
2010-07-01,30.7
2010-10-01,30.0
2011-01-01,29.3
2011-04-01,28.4
2011-07-01,28.8
2011-10-01,29.1
2012-01-01,29.3
2012-04-01,29.5
2012-07-01,28.9
2012-10-01,29.0
2013-01-01,28.6
2013-04-01,28.6
2013-07-01,28.5
2013-10-01,27.8
2014-01-01,26.8
2014-04-01,26.2
2014-07-01,26.8
2014-10-01,26.7
2015-01-01,26.8
2015-04-01,26.3
2015-07-01,26.5
2015-10-01,26.4
2016-01-01,25.9
2016-04-01,26.5
2016-07-01,26.2
2016-10-01,25.8
2017-01-01,25.9
2017-04-01,25.4
2017-07-01,25.6
2017-10-01,26.0
2018-01-01,25.8
2018-04-01,25.9
2018-07-01,25.8
2018-10-01,25.8
2019-01-01,26.2
2019-04-01,26.8
2019-07-01,26.9
2019-10-01,26.8
2020-01-01,24.7
2020-04-01,24.8
2020-07-01,23.2
2020-10-01,23.7
2021-01-01,24.1
2021-04-01,24.5
2021-07-01,24.1
2021-10-01,23.5
2022-01-01,22.6
2022-04-01,22.7
2022-07-01,22.8
2022-10-01,23.8
2023-01-01,24.2
2023-04-01,23.9
2023-07-01,24.4
2023-10-01,25.3
2024-01-01,26.0
2024-04-01,25.8
2024-07-01,25.8
2024-10-01,25.0
2025-01-01,24.1
