Tarih,TP_BISBORCORAN_QID
2000-01-01,9.4
2000-04-01,8.7
2000-07-01,7.6
2000-10-01,7.1
2001-01-01,6.8
2001-04-01,6.6
2001-07-01,5.8
2001-10-01,5.6
2002-01-01,5.2
2002-04-01,4.9
2002-07-01,4.9
2002-10-01,4.9
2003-01-01,4.7
2003-04-01,4.4
2003-07-01,4.2
2003-10-01,4.2
2004-01-01,3.9
2004-04-01,4.2
2004-07-01,4.0
2004-10-01,4.0
2005-01-01,3.8
2005-04-01,3.8
2005-07-01,4.2
2005-10-01,4.0
2006-01-01,3.8
2006-04-01,3.8
2006-07-01,3.7
2006-10-01,3.6
2007-01-01,3.4
2007-04-01,3.2
2007-07-01,3.2
2007-10-01,3.3
2008-01-01,3.3
2008-04-01,3.5
2008-07-01,3.6
2008-10-01,3.8
2009-01-01,3.7
2009-04-01,3.5
2009-07-01,3.4
2009-10-01,3.4
2010-01-01,3.2
2010-04-01,3.3
2010-07-01,3.3
2010-10-01,3.4
2011-01-01,3.3
2011-04-01,3.5
2011-07-01,3.6
2011-10-01,3.7
2012-01-01,3.7
2012-04-01,3.8
2012-07-01,3.8
2012-10-01,4.0
2013-01-01,3.9
2013-04-01,4.1
2013-07-01,4.3
2013-10-01,4.5
2014-01-01,4.4
2014-04-01,4.6
2014-07-01,4.7
2014-10-01,4.8
2015-01-01,4.7
2015-04-01,4.8
2015-07-01,4.9
2015-10-01,5.0
2016-01-01,4.8
2016-04-01,4.8
2016-07-01,4.8
2016-10-01,4.8
2017-01-01,4.6
2017-04-01,4.6
2017-07-01,4.5
2017-10-01,4.5
2018-01-01,4.4
2018-04-01,4.5
2018-07-01,4.6
2018-10-01,4.7
2019-01-01,4.7
2019-04-01,4.8
2019-07-01,4.8
2019-10-01,4.8
2020-01-01,4.9
2020-04-01,4.8
2020-07-01,4.8
2020-10-01,4.6
2021-01-01,4.6
2021-04-01,4.4
2021-07-01,4.2
2021-10-01,4.1
2022-01-01,4.0
2022-04-01,4.1
2022-07-01,4.0
2022-10-01,4.0
2023-01-01,3.9
2023-04-01,4.1
2023-07-01,4.2
2023-10-01,4.3
2024-01-01,4.4
2024-04-01,4.5
2024-07-01,4.4
2024-10-01,4.5
2025-01-01,4.5
