Tarih,TP_BISBORCORAN_QRU
2000-01-01,7.6
2000-04-01,6.0
2000-07-01,5.1
2000-10-01,4.9
2001-01-01,4.6
2001-04-01,4.6
2001-07-01,4.9
2001-10-01,5.0
2002-01-01,4.9
2002-04-01,5.4
2002-07-01,5.0
2002-10-01,5.1
2003-01-01,5.2
2003-04-01,5.2
2003-07-01,5.3
2003-10-01,5.4
2004-01-01,5.6
2004-04-01,5.7
2004-07-01,5.5
2004-10-01,5.4
2005-01-01,5.0
2005-04-01,5.0
2005-07-01,5.4
2005-10-01,6.3
2006-01-01,6.0
2006-04-01,6.3
2006-07-01,6.1
2006-10-01,6.6
2007-01-01,6.6
2007-04-01,7.5
2007-07-01,7.9
2007-10-01,8.3
2008-01-01,8.6
2008-04-01,8.8
2008-07-01,9.2
2008-10-01,11.2
2009-01-01,13.1
2009-04-01,12.1
2009-07-01,12.0
2009-10-01,11.5
2010-01-01,10.2
2010-04-01,9.4
2010-07-01,8.7
2010-10-01,8.0
2011-01-01,7.5
2011-04-01,7.3
2011-07-01,7.5
2011-10-01,8.0
2012-01-01,8.0
2012-04-01,8.4
2012-07-01,8.7
2012-10-01,8.9
2013-01-01,9.3
2013-04-01,10.0
2013-07-01,10.2
2013-10-01,10.4
2014-01-01,11.0
2014-04-01,11.8
2014-07-01,12.3
2014-10-01,15.9
2015-01-01,20.0
2015-04-01,17.6
2015-07-01,17.0
2015-10-01,16.9
2016-01-01,16.4
2016-04-01,15.7
2016-07-01,15.2
2016-10-01,14.7
2017-01-01,14.1
2017-04-01,13.7
2017-07-01,13.5
2017-10-01,13.1
2018-01-01,12.4
2018-04-01,12.4
2018-07-01,12.4
2018-10-01,12.4
2019-01-01,12.4
2019-04-01,12.2
2019-07-01,12.0
2019-10-01,11.8
2020-01-01,12.3
2020-04-01,12.4
2020-07-01,12.2
2020-10-01,12.2
2021-01-01,12.0
2021-04-01,11.6
2021-07-01,12.2
2021-10-01,12.2
2022-01-01,15.4
2022-04-01,13.9
2022-07-01,11.7
2022-10-01,11.7
2023-01-01,12.4
2023-04-01,12.7
2023-07-01,14.4
2023-10-01,17.0
2024-01-01,18.2
2024-04-01,18.4
2024-07-01,20.3
2024-10-01,23.1
2025-01-01,22.2
