Tarih,TP_BISBORCORAN_QIT
2000-01-01,9.3
2000-04-01,9.6
2000-07-01,9.8
2000-10-01,10.0
2001-01-01,10.0
2001-04-01,10.0
2001-07-01,10.0
2001-10-01,10.1
2002-01-01,10.0
2002-04-01,10.2
2002-07-01,10.0
2002-10-01,10.1
2003-01-01,10.0
2003-04-01,10.0
2003-07-01,9.9
2003-10-01,10.2
2004-01-01,10.2
2004-04-01,10.4
2004-07-01,10.5
2004-10-01,10.8
2005-01-01,10.8
2005-04-01,10.9
2005-07-01,10.9
2005-10-01,11.0
2006-01-01,10.9
2006-04-01,11.1
2006-07-01,11.2
2006-10-01,11.6
2007-01-01,11.8
2007-04-01,12.0
2007-07-01,12.4
2007-10-01,13.2
2008-01-01,13.5
2008-04-01,13.5
2008-07-01,13.8
2008-10-01,13.6
2009-01-01,13.1
2009-04-01,13.1
2009-07-01,12.8
2009-10-01,12.6
2010-01-01,12.7
2010-04-01,12.7
2010-07-01,12.8
2010-10-01,12.9
2011-01-01,12.9
2011-04-01,13.0
2011-07-01,13.1
2011-10-01,13.1
2012-01-01,13.2
2012-04-01,13.1
2012-07-01,13.1
2012-10-01,13.1
2013-01-01,13.0
2013-04-01,12.9
2013-07-01,12.7
2013-10-01,12.5
2014-01-01,12.5
2014-04-01,12.3
2014-07-01,12.3
2014-10-01,12.0
2015-01-01,11.8
2015-04-01,11.6
2015-07-01,11.5
2015-10-01,11.3
2016-01-01,11.2
2016-04-01,11.0
2016-07-01,11.0
2016-10-01,10.7
2017-01-01,10.6
2017-04-01,10.4
2017-07-01,10.2
2017-10-01,10.1
2018-01-01,10.0
2018-04-01,10.0
2018-07-01,9.9
2018-10-01,9.8
2019-01-01,9.7
2019-04-01,9.9
2019-07-01,9.8
2019-10-01,9.8
2020-01-01,9.9
2020-04-01,10.3
2020-07-01,10.4
2020-10-01,10.4
2021-01-01,10.4
2021-04-01,10.2
2021-07-01,9.9
2021-10-01,9.9
2022-01-01,9.7
2022-04-01,9.6
2022-07-01,9.6
2022-10-01,9.8
2023-01-01,9.6
2023-04-01,9.8
2023-07-01,9.7
2023-10-01,9.8
2024-01-01,9.7
2024-04-01,9.8
2024-07-01,9.7
2024-10-01,9.6
2025-01-01,9.6
