Tarih,TP_BISBORCORAN_QTR
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,14.6
2002-04-01,11.6
2002-07-01,10.7
2002-10-01,9.8
2003-01-01,10.1
2003-04-01,8.9
2003-07-01,7.7
2003-10-01,6.7
2004-01-01,6.2
2004-04-01,6.6
2004-07-01,6.6
2004-10-01,6.0
2005-01-01,5.6
2005-04-01,5.2
2005-07-01,5.0
2005-10-01,5.8
2006-01-01,6.1
2006-04-01,6.7
2006-07-01,8.3
2006-10-01,8.2
2007-01-01,7.9
2007-04-01,7.9
2007-07-01,8.0
2007-10-01,8.1
2008-01-01,8.6
2008-04-01,9.2
2008-07-01,9.7
2008-10-01,11.1
2009-01-01,10.3
2009-04-01,8.6
2009-07-01,8.0
2009-10-01,7.2
2010-01-01,7.0
2010-04-01,7.3
2010-07-01,7.1
2010-10-01,7.3
2011-01-01,7.4
2011-04-01,8.4
2011-07-01,9.7
2011-10-01,10.3
2012-01-01,10.8
2012-04-01,10.5
2012-07-01,10.5
2012-10-01,9.6
2013-01-01,9.2
2013-04-01,9.1
2013-07-01,9.9
2013-10-01,10.3
2014-01-01,12.0
2014-04-01,12.1
2014-07-01,11.2
2014-10-01,11.5
2015-01-01,12.0
2015-04-01,12.7
2015-07-01,13.9
2015-10-01,14.2
2016-01-01,14.3
2016-04-01,14.2
2016-07-01,13.9
2016-10-01,14.2
2017-01-01,14.4
2017-04-01,15.0
2017-07-01,15.2
2017-10-01,15.6
2018-01-01,16.4
2018-04-01,17.9
2018-07-01,27.1
2018-10-01,26.7
2019-01-01,21.4
2019-04-01,22.3
2019-07-01,17.7
2019-10-01,13.7
2020-01-01,12.5
2020-04-01,12.5
2020-07-01,14.5
2020-10-01,17.2
2021-01-01,19.4
2021-04-01,19.1
2021-07-01,18.0
2021-10-01,19.3
2022-01-01,20.7
2022-04-01,19.6
2022-07-01,19.1
2022-10-01,13.9
2023-01-01,12.4
2023-04-01,14.2
2023-07-01,22.3
2023-10-01,30.5
2024-01-01,31.8
2024-04-01,34.9
2024-07-01,31.9
2024-10-01,29.7
2025-01-01,29.7
