Tarih,TP_BISBORCORAN_QHK
2000-01-01,19.9
2000-04-01,19.5
2000-07-01,20.1
2000-10-01,19.6
2001-01-01,19.4
2001-04-01,18.8
2001-07-01,18.3
2001-10-01,17.4
2002-01-01,17.0
2002-04-01,16.4
2002-07-01,16.0
2002-10-01,15.6
2003-01-01,15.2
2003-04-01,15.5
2003-07-01,15.3
2003-10-01,15.1
2004-01-01,15.0
2004-04-01,14.5
2004-07-01,14.4
2004-10-01,14.5
2005-01-01,14.8
2005-04-01,15.6
2005-07-01,15.8
2005-10-01,16.4
2006-01-01,16.7
2006-04-01,17.4
2006-07-01,17.6
2006-10-01,17.9
2007-01-01,18.3
2007-04-01,19.6
2007-07-01,20.5
2007-10-01,19.7
2008-01-01,19.7
2008-04-01,19.9
2008-07-01,19.9
2008-10-01,19.1
2009-01-01,18.0
2009-04-01,18.4
2009-07-01,18.2
2009-10-01,17.4
2010-01-01,17.6
2010-04-01,18.5
2010-07-01,19.5
2010-10-01,19.3
2011-01-01,20.3
2011-04-01,20.7
2011-07-01,20.8
2011-10-01,20.1
2012-01-01,20.2
2012-04-01,20.2
2012-07-01,20.2
2012-10-01,20.1
2013-01-01,20.8
2013-04-01,22.1
2013-07-01,22.5
2013-10-01,22.3
2014-01-01,23.6
2014-04-01,24.4
2014-07-01,24.8
2014-10-01,24.0
2015-01-01,24.8
2015-04-01,24.8
2015-07-01,24.2
2015-10-01,25.2
2016-01-01,25.1
2016-04-01,25.6
2016-07-01,25.7
2016-10-01,26.2
2017-01-01,27.3
2017-04-01,28.7
2017-07-01,29.1
2017-10-01,29.9
2018-01-01,30.6
2018-04-01,30.6
2018-07-01,29.8
2018-10-01,30.4
2019-01-01,30.5
2019-04-01,31.3
2019-07-01,32.0
2019-10-01,32.5
2020-01-01,34.3
2020-04-01,34.5
2020-07-01,35.7
2020-10-01,34.4
2021-01-01,34.3
2021-04-01,34.7
2021-07-01,32.9
2021-10-01,31.5
2022-01-01,32.5
2022-04-01,32.8
2022-07-01,32.7
2022-10-01,34.3
2023-01-01,35.5
2023-04-01,36.2
2023-07-01,36.4
2023-10-01,37.3
2024-01-01,37.4
2024-04-01,35.9
2024-07-01,35.6
2024-10-01,34.9
2025-01-01,35.2
