Tarih,TP_BISBORCORAN_QMX
2000-01-01,6.7
2000-04-01,6.4
2000-07-01,5.9
2000-10-01,5.7
2001-01-01,5.5
2001-04-01,5.0
2001-07-01,4.7
2001-10-01,4.4
2002-01-01,4.1
2002-04-01,4.0
2002-07-01,3.8
2002-10-01,3.7
2003-01-01,3.6
2003-04-01,3.4
2003-07-01,3.3
2003-10-01,3.2
2004-01-01,3.1
2004-04-01,3.0
2004-07-01,3.0
2004-10-01,3.0
2005-01-01,3.1
2005-04-01,3.1
2005-07-01,3.1
2005-10-01,3.2
2006-01-01,3.1
2006-04-01,3.2
2006-07-01,3.1
2006-10-01,3.2
2007-01-01,3.2
2007-04-01,3.2
2007-07-01,3.3
2007-10-01,3.5
2008-01-01,3.5
2008-04-01,3.5
2008-07-01,3.6
2008-10-01,3.8
2009-01-01,3.8
2009-04-01,3.7
2009-07-01,3.6
2009-10-01,3.5
2010-01-01,3.4
2010-04-01,3.3
2010-07-01,3.3
2010-10-01,3.2
2011-01-01,3.2
2011-04-01,3.2
2011-07-01,3.4
2011-10-01,3.4
2012-01-01,3.3
2012-04-01,3.3
2012-07-01,3.3
2012-10-01,3.3
2013-01-01,3.3
2013-04-01,3.4
2013-07-01,3.5
2013-10-01,3.6
2014-01-01,3.5
2014-04-01,3.5
2014-07-01,3.5
2014-10-01,3.6
2015-01-01,3.6
2015-04-01,3.7
2015-07-01,3.8
2015-10-01,3.8
2016-01-01,4.0
2016-04-01,4.1
2016-07-01,4.2
2016-10-01,4.4
2017-01-01,4.3
2017-04-01,4.4
2017-07-01,4.6
2017-10-01,4.8
2018-01-01,4.8
2018-04-01,5.0
2018-07-01,5.0
2018-10-01,5.1
2019-01-01,5.2
2019-04-01,5.3
2019-07-01,5.3
2019-10-01,5.2
2020-01-01,5.7
2020-04-01,5.7
2020-07-01,5.5
2020-10-01,5.1
2021-01-01,5.0
2021-04-01,4.6
2021-07-01,4.6
2021-10-01,4.5
2022-01-01,4.5
2022-04-01,4.6
2022-07-01,4.7
2022-10-01,4.8
2023-01-01,4.9
2023-04-01,5.0
2023-07-01,5.2
2023-10-01,5.3
2024-01-01,5.4
2024-04-01,5.6
2024-07-01,5.7
2024-10-01,5.9
2025-01-01,5.8
