Tarih,TP_SEKBILB02A_E
2000-01-01,
2001-01-01,
2002-01-01,
2003-01-01,
2004-01-01,
2005-01-01,
2006-01-01,
2007-01-01,
2008-01-01,
2009-01-01,61.0
2010-01-01,59.7
2011-01-01,52.6
2012-01-01,53.0
2013-01-01,47.5
2014-01-01,45.2
2015-01-01,41.2
2016-01-01,38.5
2017-01-01,33.8
2018-01-01,33.9
2019-01-01,31.5
2020-01-01,29.4
2021-01-01,28.8
2022-01-01,32.3
2023-01-01,29.6
