Tarih,TP_ITHALATBEC_62
2016-10-01,494600.931
2016-11-01,407693.026
2016-12-01,412355.122
2017-01-01,417012.173
2017-02-01,442452.957
2017-03-01,459017.423
2017-04-01,368353.804
2017-05-01,411558.919
2017-06-01,409268.634
2017-07-01,444564.097
2017-08-01,490768.224
2017-09-01,480394.615
2017-10-01,456471.859
2017-11-01,410901.173
2017-12-01,417288.071
2018-01-01,465361.639
2018-02-01,447399.523
2018-03-01,461942.327
2018-04-01,383771.494
2018-05-01,398115.096
2018-06-01,383223.195
2018-07-01,455645.882
2018-08-01,356211.654
2018-09-01,370722.049
2018-10-01,362319.827
2018-11-01,329638.7
2018-12-01,307779.134
2019-01-01,324332.559
2019-02-01,302421.91
2019-03-01,296948.4
2019-04-01,292515.422
2019-05-01,310615.837
2019-06-01,266359.204
2019-07-01,375899.924
2019-08-01,324741.815
2019-09-01,341605.891
2019-10-01,341198.253
2019-11-01,323975.114
2019-12-01,358620.754
2020-01-01,363727.317
2020-02-01,377411.099
2020-03-01,323799.836
2020-04-01,146458.569
2020-05-01,162748.928
2020-06-01,231106.16
2020-07-01,292528.479
2020-08-01,340240.573
2020-09-01,343483.832
2020-10-01,325875.876
2020-11-01,326440.287
2020-12-01,329630.817
2021-01-01,275682.0
2021-02-01,330898.0
2021-03-01,378925.0
2021-04-01,302818.0
2021-05-01,274575.0
2021-06-01,330687.0
2021-07-01,319401.0
2021-08-01,383234.0
2021-09-01,410622.0
2021-10-01,366682.0
2021-11-01,381112.0
2021-12-01,346273.0
2022-01-01,320122.0
2022-02-01,386787.0
2022-03-01,443180.0
2022-04-01,395742.0
2022-05-01,379411.0
2022-06-01,465551.0
2022-07-01,464048.0
2022-08-01,559746.0
2022-09-01,589996.0
2022-10-01,503944.0
2022-11-01,543195.0
2022-12-01,569477.0
2023-01-01,554995.0
2023-02-01,540203.0
2023-03-01,614663.0
2023-04-01,525696.0
2023-05-01,606126.0
2023-06-01,554542.0
2023-07-01,742743.0
2023-08-01,693669.0
2023-09-01,662508.0
2023-10-01,669037.0
2023-11-01,608696.0
2023-12-01,569921.0
2024-01-01,602800.0
2024-02-01,699476.0
2024-03-01,685273.0
2024-04-01,640816.0
2024-05-01,688579.0
2024-06-01,591887.0
2024-07-01,829172.0
2024-08-01,814594.0
2024-09-01,753757.0
2024-10-01,824594.0
