Tarih,TP_BKEA_S096
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,65.8
2006-01-01,68.1
2006-04-01,-36.1
2006-07-01,-49.3
2006-10-01,-29.6
2007-01-01,7.9
2007-04-01,10.9
2007-07-01,22.2
2007-10-01,-8.7
2008-01-01,-31.4
2008-04-01,-29.2
2008-07-01,-25.9
2008-10-01,-85.1
2009-01-01,-27.9
2009-04-01,-14.5
2009-07-01,-5.6
2009-10-01,8.1
2010-01-01,37.1
2010-04-01,37.0
2010-07-01,35.6
2010-10-01,21.9
2011-01-01,5.7
2011-04-01,-5.6
2011-07-01,0.0
2011-10-01,0.0
2012-01-01,23.7
2012-04-01,49.3
2012-07-01,33.6
2012-10-01,49.1
2013-01-01,15.3
2013-04-01,19.9
2013-07-01,-29.5
2013-10-01,-15.7
2014-01-01,-60.7
2014-04-01,-22.0
2014-07-01,16.7
2014-10-01,15.2
2015-01-01,0.0
2015-04-01,-16.0
2015-07-01,-5.9
2015-10-01,8.0
2016-01-01,-22.6
2016-04-01,7.4
2016-07-01,-22.1
2016-10-01,-21.7
2017-01-01,-16.2
2017-04-01,12.0
2017-07-01,6.5
2017-10-01,-22.5
2018-01-01,-17.1
2018-04-01,-52.7
2018-07-01,-53.7
2018-10-01,-59.3
2019-01-01,-22.3
2019-04-01,-29.4
2019-07-01,0.0
2019-10-01,59.8
2020-01-01,29.8
2020-04-01,-20.4
2020-07-01,39.1
2020-10-01,-8.5
2021-01-01,7.8
2021-04-01,-2.5
2021-07-01,-2.1
2021-10-01,18.1
2022-01-01,14.2
2022-04-01,23.5
2022-07-01,9.6
2022-10-01,-6.5
2023-01-01,-6.3
2023-04-01,-18.4
2023-07-01,-18.2
2023-10-01,-5.4
2024-01-01,-37.3
2024-04-01,-12.1
2024-07-01,-9.6
2024-10-01,6.6
2025-01-01,-6.7
2025-04-01,0.6
2025-07-01,0.6
