Tarih,TP_BKEA_S036
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,14.9
2006-01-01,16.6
2006-04-01,25.4
2006-07-01,24.2
2006-10-01,21.1
2007-01-01,24.6
2007-04-01,42.5
2007-07-01,25.3
2007-10-01,16.0
2008-01-01,3.0
2008-04-01,4.0
2008-07-01,-21.6
2008-10-01,33.3
2009-01-01,26.9
2009-04-01,33.1
2009-07-01,26.3
2009-10-01,29.1
2010-01-01,12.4
2010-04-01,18.2
2010-07-01,15.9
2010-10-01,16.2
2011-01-01,12.9
2011-04-01,12.4
2011-07-01,7.3
2011-10-01,20.1
2012-01-01,12.6
2012-04-01,11.4
2012-07-01,0.3
2012-10-01,-30.7
2013-01-01,14.4
2013-04-01,0.0
2013-07-01,0.0
2013-10-01,21.0
2014-01-01,11.7
2014-04-01,26.0
2014-07-01,0.0
2014-10-01,-14.4
2015-01-01,-14.3
2015-04-01,-9.6
2015-07-01,27.7
2015-10-01,-1.5
2016-01-01,2.5
2016-04-01,36.6
2016-07-01,17.0
2016-10-01,25.4
2017-01-01,-1.3
2017-04-01,0.0
2017-07-01,-22.4
2017-10-01,-14.7
2018-01-01,0.0
2018-04-01,-14.6
2018-07-01,19.0
2018-10-01,21.2
2019-01-01,1.2
2019-04-01,1.0
2019-07-01,-2.2
2019-10-01,33.3
2020-01-01,18.5
2020-04-01,16.3
2020-07-01,4.3
2020-10-01,15.9
2021-01-01,0.0
2021-04-01,1.1
2021-07-01,0.0
2021-10-01,0.0
2022-01-01,17.0
2022-04-01,30.8
2022-07-01,30.5
2022-10-01,30.3
2023-01-01,16.5
2023-04-01,16.2
2023-07-01,4.0
2023-10-01,-11.8
2024-01-01,-19.9
2024-04-01,-32.0
2024-07-01,-41.3
2024-10-01,-7.3
2025-01-01,5.2
2025-04-01,26.9
2025-07-01,-7.4
