Tarih,TP_BKEA_S105
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,-23.1
2006-01-01,3.0
2006-04-01,-34.0
2006-07-01,-34.2
2006-10-01,-34.6
2007-01-01,-27.3
2007-04-01,0.0
2007-07-01,0.0
2007-10-01,-29.1
2008-01-01,-36.8
2008-04-01,-25.1
2008-07-01,-31.1
2008-10-01,-68.2
2009-01-01,-40.4
2009-04-01,-40.1
2009-07-01,-39.9
2009-10-01,-15.0
2010-01-01,0.0
2010-04-01,-14.3
2010-07-01,10.4
2010-10-01,26.3
2011-01-01,10.3
2011-04-01,-10.0
2011-07-01,-10.2
2011-10-01,-9.1
2012-01-01,-20.2
2012-04-01,-15.1
2012-07-01,-16.1
2012-10-01,0.0
2013-01-01,0.0
2013-04-01,0.0
2013-07-01,0.0
2013-10-01,-15.7
2014-01-01,-5.5
2014-04-01,-5.5
2014-07-01,0.0
2014-10-01,-0.8
2015-01-01,0.0
2015-04-01,5.5
2015-07-01,5.7
2015-10-01,-36.3
2016-01-01,-5.9
2016-04-01,-5.6
2016-07-01,-43.6
2016-10-01,-15.3
2017-01-01,-17.6
2017-04-01,-5.7
2017-07-01,-34.8
2017-10-01,-5.4
2018-01-01,0.0
2018-04-01,-23.5
2018-07-01,-65.9
2018-10-01,-64.3
2019-01-01,-22.3
2019-04-01,-5.4
2019-07-01,-17.1
2019-10-01,4.9
2020-01-01,0.0
2020-04-01,-16.2
2020-07-01,42.9
2020-10-01,-16.8
2021-01-01,9.6
2021-04-01,-5.4
2021-07-01,0.0
2021-10-01,-4.8
2022-01-01,-18.1
2022-04-01,4.7
2022-07-01,-7.1
2022-10-01,-32.7
2023-01-01,-20.5
2023-04-01,-2.4
2023-07-01,-18.2
2023-10-01,-26.4
2024-01-01,-29.7
2024-04-01,-13.5
2024-07-01,-10.3
2024-10-01,-10.0
2025-01-01,3.8
2025-04-01,-11.1
2025-07-01,0.0
