Tarih,TP_BKEA_S028
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,54.9
2006-01-01,43.1
2006-04-01,35.0
2006-07-01,52.9
2006-10-01,57.3
2007-01-01,49.7
2007-04-01,47.5
2007-07-01,21.2
2007-10-01,27.1
2008-01-01,12.9
2008-04-01,1.3
2008-07-01,-31.9
2008-10-01,-68.2
2009-01-01,-52.2
2009-04-01,-25.1
2009-07-01,0.2
2009-10-01,17.2
2010-01-01,34.6
2010-04-01,55.6
2010-07-01,11.3
2010-10-01,30.3
2011-01-01,36.4
2011-04-01,-5.5
2011-07-01,-21.7
2011-10-01,23.8
2012-01-01,-22.6
2012-04-01,15.0
2012-07-01,-3.5
2012-10-01,20.3
2013-01-01,31.0
2013-04-01,67.6
2013-07-01,47.8
2013-10-01,29.0
2014-01-01,-10.1
2014-04-01,6.9
2014-07-01,-14.3
2014-10-01,-6.6
2015-01-01,15.4
2015-04-01,0.9
2015-07-01,-25.6
2015-10-01,-33.3
2016-01-01,2.6
2016-04-01,13.5
2016-07-01,9.1
2016-10-01,-16.4
2017-01-01,-22.0
2017-04-01,44.2
2017-07-01,-17.6
2017-10-01,4.1
2018-01-01,-13.7
2018-04-01,-31.8
2018-07-01,-12.1
2018-10-01,-56.4
2019-01-01,8.4
2019-04-01,-31.4
2019-07-01,16.7
2019-10-01,67.6
2020-01-01,62.6
2020-04-01,51.0
2020-07-01,61.1
2020-10-01,-19.6
2021-01-01,29.5
2021-04-01,1.4
2021-07-01,31.0
2021-10-01,22.5
2022-01-01,19.0
2022-04-01,36.6
2022-07-01,-25.9
2022-10-01,-38.8
2023-01-01,23.1
2023-04-01,-15.1
2023-07-01,2.6
2023-10-01,-1.9
2024-01-01,1.0
2024-04-01,-27.6
2024-07-01,-25.4
2024-10-01,13.9
2025-01-01,13.3
2025-04-01,0.4
2025-07-01,-25.8
