Tarih,TP_BKEA_S052
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,31.5
2006-01-01,35.5
2006-04-01,40.6
2006-07-01,33.5
2006-10-01,46.4
2007-01-01,49.9
2007-04-01,45.2
2007-07-01,51.5
2007-10-01,44.5
2008-01-01,26.7
2008-04-01,32.5
2008-07-01,29.9
2008-10-01,13.9
2009-01-01,17.8
2009-04-01,31.4
2009-07-01,27.4
2009-10-01,47.2
2010-01-01,32.7
2010-04-01,5.2
2010-07-01,13.3
2010-10-01,41.4
2011-01-01,26.6
2011-04-01,23.0
2011-07-01,50.3
2011-10-01,32.3
2012-01-01,26.7
2012-04-01,25.8
2012-07-01,-7.6
2012-10-01,28.4
2013-01-01,46.2
2013-04-01,13.1
2013-07-01,-9.2
2013-10-01,4.9
2014-01-01,4.5
2014-04-01,34.4
2014-07-01,4.3
2014-10-01,15.0
2015-01-01,-5.7
2015-04-01,22.3
2015-07-01,30.8
2015-10-01,37.6
2016-01-01,49.0
2016-04-01,24.9
2016-07-01,30.7
2016-10-01,53.2
2017-01-01,47.6
2017-04-01,22.1
2017-07-01,36.5
2017-10-01,51.3
2018-01-01,-18.8
2018-04-01,25.2
2018-07-01,7.9
2018-10-01,-26.8
2019-01-01,20.3
2019-04-01,-2.2
2019-07-01,61.1
2019-10-01,71.7
2020-01-01,79.6
2020-04-01,58.1
2020-07-01,38.9
2020-10-01,35.6
2021-01-01,67.1
2021-04-01,41.8
2021-07-01,10.9
2021-10-01,81.7
2022-01-01,59.1
2022-04-01,96.2
2022-07-01,65.6
2022-10-01,51.8
2023-01-01,78.8
2023-04-01,70.9
2023-07-01,1.5
2023-10-01,22.5
2024-01-01,-19.8
2024-04-01,-10.1
2024-07-01,10.9
2024-10-01,36.0
2025-01-01,36.3
2025-04-01,33.7
2025-07-01,51.6
