Tarih,TP_BKEA_S043
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,-4.4
2006-01-01,-8.0
2006-04-01,-51.5
2006-07-01,8.9
2006-10-01,-9.6
2007-01-01,-9.5
2007-04-01,-9.5
2007-07-01,-9.6
2007-10-01,-27.8
2008-01-01,-31.5
2008-04-01,-47.7
2008-07-01,-70.2
2008-10-01,-31.1
2009-01-01,-41.9
2009-04-01,-15.9
2009-07-01,8.3
2009-10-01,4.1
2010-01-01,16.9
2010-04-01,0.9
2010-07-01,22.5
2010-10-01,17.7
2011-01-01,14.3
2011-04-01,-4.0
2011-07-01,-6.1
2011-10-01,3.4
2012-01-01,-5.8
2012-04-01,-30.9
2012-07-01,-6.9
2012-10-01,9.4
2013-01-01,17.6
2013-04-01,7.9
2013-07-01,-0.3
2013-10-01,-13.3
2014-01-01,-39.3
2014-04-01,20.6
2014-07-01,-2.2
2014-10-01,-16.6
2015-01-01,-21.0
2015-04-01,-2.2
2015-07-01,-77.4
2015-10-01,-65.5
2016-01-01,-47.6
2016-04-01,-13.6
2016-07-01,-23.4
2016-10-01,-1.2
2017-01-01,3.0
2017-04-01,-1.2
2017-07-01,14.8
2017-10-01,10.6
2018-01-01,0.0
2018-04-01,-19.8
2018-07-01,-21.5
2018-10-01,1.8
2019-01-01,36.7
2019-04-01,2.2
2019-07-01,37.5
2019-10-01,18.2
2020-01-01,22.3
2020-04-01,16.6
2020-07-01,-13.9
2020-10-01,2.3
2021-01-01,23.8
2021-04-01,0.0
2021-07-01,1.0
2021-10-01,14.0
2022-01-01,0.0
2022-04-01,0.9
2022-07-01,-0.8
2022-10-01,0.0
2023-01-01,0.0
2023-04-01,-6.8
2023-07-01,-12.3
2023-10-01,6.4
2024-01-01,-38.0
2024-04-01,-1.1
2024-07-01,1.9
2024-10-01,1.0
2025-01-01,9.8
2025-04-01,7.5
2025-07-01,9.8
