Tarih,TP_BKEA_S095
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,79.8
2006-01-01,90.1
2006-04-01,-30.2
2006-07-01,-55.9
2006-10-01,-37.1
2007-01-01,18.7
2007-04-01,38.1
2007-07-01,38.2
2007-10-01,19.3
2008-01-01,-56.3
2008-04-01,-63.4
2008-07-01,-44.7
2008-10-01,-90.9
2009-01-01,-9.8
2009-04-01,-5.1
2009-07-01,44.6
2009-10-01,36.4
2010-01-01,21.1
2010-04-01,23.3
2010-07-01,21.4
2010-10-01,52.8
2011-01-01,21.5
2011-04-01,-16.7
2011-07-01,-15.6
2011-10-01,-18.8
2012-01-01,8.4
2012-04-01,33.8
2012-07-01,22.4
2012-10-01,46.5
2013-01-01,8.3
2013-04-01,28.1
2013-07-01,-32.7
2013-10-01,-5.0
2014-01-01,-39.8
2014-04-01,-7.5
2014-07-01,47.2
2014-10-01,23.6
2015-01-01,31.5
2015-04-01,0.3
2015-07-01,10.4
2015-10-01,-22.4
2016-01-01,-5.9
2016-04-01,-5.5
2016-07-01,-0.7
2016-10-01,17.1
2017-01-01,28.5
2017-04-01,50.2
2017-07-01,24.0
2017-10-01,-22.3
2018-01-01,-30.4
2018-04-01,-36.1
2018-07-01,-88.8
2018-10-01,-81.7
2019-01-01,-10.7
2019-04-01,-29.4
2019-07-01,6.5
2019-10-01,34.5
2020-01-01,46.3
2020-04-01,4.4
2020-07-01,56.8
2020-10-01,-30.5
2021-01-01,-14.4
2021-04-01,-2.5
2021-07-01,24.6
2021-10-01,34.8
2022-01-01,-4.4
2022-04-01,60.7
2022-07-01,4.6
2022-10-01,23.4
2023-01-01,29.2
2023-04-01,-18.4
2023-07-01,-47.9
2023-10-01,-35.8
2024-01-01,-27.0
2024-04-01,-13.1
2024-07-01,5.2
2024-10-01,6.6
2025-01-01,28.3
2025-04-01,0.6
2025-07-01,15.8
