Tarih,TP_BKEA_S024
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,45.9
2006-01-01,65.3
2006-04-01,51.8
2006-07-01,21.3
2006-10-01,21.4
2007-01-01,44.7
2007-04-01,47.4
2007-07-01,39.8
2007-10-01,55.9
2008-01-01,60.9
2008-04-01,49.9
2008-07-01,5.4
2008-10-01,26.1
2009-01-01,-2.4
2009-04-01,22.8
2009-07-01,16.7
2009-10-01,35.5
2010-01-01,37.2
2010-04-01,58.3
2010-07-01,14.4
2010-10-01,57.7
2011-01-01,37.6
2011-04-01,27.2
2011-07-01,13.2
2011-10-01,41.5
2012-01-01,-3.6
2012-04-01,38.4
2012-07-01,-43.7
2012-10-01,20.3
2013-01-01,-16.9
2013-04-01,40.1
2013-07-01,0.0
2013-10-01,7.3
2014-01-01,-18.3
2014-04-01,3.1
2014-07-01,-31.1
2014-10-01,-7.9
2015-01-01,-14.3
2015-04-01,0.9
2015-07-01,-38.5
2015-10-01,-17.7
2016-01-01,4.0
2016-04-01,0.0
2016-07-01,28.3
2016-10-01,-13.2
2017-01-01,-16.8
2017-04-01,43.9
2017-07-01,-14.8
2017-10-01,20.0
2018-01-01,13.7
2018-04-01,-13.7
2018-07-01,-12.7
2018-10-01,-48.8
2019-01-01,15.3
2019-04-01,-14.7
2019-07-01,27.7
2019-10-01,65.1
2020-01-01,66.4
2020-04-01,71.8
2020-07-01,59.2
2020-10-01,-0.2
2021-01-01,26.5
2021-04-01,18.6
2021-07-01,17.0
2021-10-01,54.0
2022-01-01,50.4
2022-04-01,53.8
2022-07-01,9.8
2022-10-01,-17.1
2023-01-01,32.7
2023-04-01,15.3
2023-07-01,6.8
2023-10-01,1.5
2024-01-01,7.5
2024-04-01,-26.6
2024-07-01,-12.5
2024-10-01,20.1
2025-01-01,26.5
2025-04-01,20.9
2025-07-01,-11.5
