Tarih,TP_BKEA_S122
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,68.2
2006-01-01,79.0
2006-04-01,7.0
2006-07-01,51.2
2006-10-01,41.4
2007-01-01,41.5
2007-04-01,66.8
2007-07-01,49.5
2007-10-01,48.6
2008-01-01,34.2
2008-04-01,-1.3
2008-07-01,3.0
2008-10-01,-26.5
2009-01-01,12.4
2009-04-01,13.1
2009-07-01,42.5
2009-10-01,38.3
2010-01-01,15.6
2010-04-01,14.2
2010-07-01,29.8
2010-10-01,11.0
2011-01-01,30.0
2011-04-01,6.0
2011-07-01,31.1
2011-10-01,10.4
2012-01-01,25.8
2012-04-01,31.5
2012-07-01,49.8
2012-10-01,70.7
2013-01-01,50.2
2013-04-01,44.8
2013-07-01,39.9
2013-10-01,23.5
2014-01-01,-13.3
2014-04-01,8.7
2014-07-01,52.5
2014-10-01,16.9
2015-01-01,42.3
2015-04-01,-1.0
2015-07-01,37.3
2015-10-01,26.4
2016-01-01,-11.2
2016-04-01,16.1
2016-07-01,61.1
2016-10-01,21.0
2017-01-01,21.6
2017-04-01,15.8
2017-07-01,56.7
2017-10-01,-5.8
2018-01-01,12.2
2018-04-01,1.3
2018-07-01,-63.5
2018-10-01,-9.9
2019-01-01,0.8
2019-04-01,12.2
2019-07-01,47.2
2019-10-01,47.2
2020-01-01,21.7
2020-04-01,79.6
2020-07-01,-21.3
2020-10-01,-11.6
2021-01-01,16.5
2021-04-01,18.9
2021-07-01,10.8
2021-10-01,-15.2
2022-01-01,-2.5
2022-04-01,-7.4
2022-07-01,-4.3
2022-10-01,-18.3
2023-01-01,-3.7
2023-04-01,3.7
2023-07-01,-31.7
2023-10-01,-17.1
2024-01-01,-25.1
2024-04-01,24.6
2024-07-01,18.8
2024-10-01,25.3
2025-01-01,34.0
2025-04-01,-2.5
2025-07-01,33.4
